model,draw,layer,separation_ratio,mean_centroid_dist,mean_spread
pythia-1b,draw_2,7,11.459416601262529,8.857950646033169,0.7729844331741333
pythia-1b,draw_2,8,11.159243005038164,8.383758895751528,0.751283836364746
pythia-1b,draw_2,9,11.89415027072556,9.232404299147118,0.7762138605117798
pythia-1b,draw_2,10,11.960758560849422,10.498251879000211,0.8777245879173279
pythia-1b,draw_2,11,13.128462429676322,14.683898125111147,1.1184781312942504
pythia-1b,draw_2,12,13.523136914252524,15.222261362675479,1.1256457328796388
pythia-1b,draw_2,13,14.46687208989956,17.411985798780783,1.203576397895813
pythia-1b,draw_2,14,15.316986908221123,24.679716750387463,1.6112644672393799
pythia-1b,draw_2,15,17.182749503317314,34.65212123510207,2.0166808128356934
pythia-1b,draw_3,0,10.73496186156802,4.5487254307576,0.42373000383377074
pythia-1b,draw_3,1,11.268590831893798,5.114087285275896,0.45383556485176085
pythia-1b,draw_3,2,11.003164252442115,5.398787320595977,0.49065770506858825
pythia-1b,draw_3,3,11.027485940369974,6.028386490487197,0.5466691613197326
pythia-1b,draw_3,4,11.236828947443046,6.55650206492929,0.5834833025932312
pythia-1b,draw_3,5,11.335357244930586,7.235986352450692,0.6383553862571716
pythia-1b,draw_3,6,11.161039600349806,7.357986639377255,0.659256386756897
pythia-1b,draw_3,7,11.443177591428285,8.803255026369365,0.7693016171455384
pythia-1b,draw_3,8,11.175465364368655,8.323597526091119,0.7448099255561829
pythia-1b,draw_3,9,11.846434487093731,9.092905098471865,0.7675647139549255
pythia-1b,draw_3,10,11.673983394758588,10.104504760393848,0.8655575752258301
pythia-1b,draw_3,11,12.848300627835481,14.106573946648407,1.097933053970337
pythia-1b,draw_3,12,13.37900041191931,14.964388598619939,1.1184982538223267
pythia-1b,draw_3,13,14.276679029100185,17.11573093359232,1.198859405517578
pythia-1b,draw_3,14,15.097139503130258,24.292483345958637,1.609078550338745
pythia-1b,draw_3,15,17.13996426702865,34.4208669385242,2.008222794532776
pythia-1.4b,draw_1,0,11.024755335286986,4.623943389951024,0.4194146037101746
pythia-1.4b,draw_1,1,11.909943920169903,5.638252102826141,0.473407107591629
pythia-1.4b,draw_1,2,12.087568021550153,6.076251216913206,0.5026859998703003
pythia-1.4b,draw_1,3,11.243552308323284,5.987286821643256,0.5325084686279297
pythia-1.4b,draw_1,4,11.239166221618316,6.478414779291801,0.5764141798019409
pythia-1.4b,draw_1,5,11.093731195473044,6.590106594972212,0.5940387845039368
pythia-1.4b,draw_1,6,11.195870636944536,6.875993329524628,0.6141544103622436
pythia-1.4b,draw_1,7,11.485290398059893,7.57706500650013,0.6597190618515014
pythia-1.4b,draw_1,8,11.56831371174364,7.789269469500832,0.6733279943466186
pythia-1.4b,draw_1,9,11.55575345551403,7.968909191507945,0.6896053314208984
pythia-1.4b,draw_1,10,11.864502004206276,10.468644377590602,0.8823500871658325
pythia-1.4b,draw_1,11,12.427200493207756,10.581280475641906,0.8514613151550293
pythia-1.4b,draw_1,12,13.537022386962972,11.925939134184562,0.8809868812561035
pythia-1.4b,draw_1,13,13.33844065283392,12.813178080175714,0.960620391368866
pythia-1.4b,draw_1,14,13.771376237829225,14.157597256618867,1.0280452013015746
pythia-1.4b,draw_1,15,14.047326214895838,16.115563024959965,1.147233486175537
pythia-1.4b,draw_1,16,14.847429093492273,18.81649323711909,1.2673233270645141
pythia-1.4b,draw_1,17,15.41017879429975,20.21692064807526,1.311919927597046
pythia-1.4b,draw_1,18,15.692297617177525,21.725005117762457,1.3844374895095826
