model,draw,layer,accuracy,std
pythia-1.4b,draw_1,5,0.6008888888888888,0.02731074043686614
pythia-1.4b,draw_1,6,0.5946666666666667,0.021109941488067396
pythia-1.4b,draw_1,7,0.6142222222222222,0.0248888888888889
pythia-1.4b,draw_1,8,0.6017777777777777,0.02554685842346652
pythia-1.4b,draw_1,9,0.6408888888888888,0.024729649321321896
pythia-1.4b,draw_1,10,0.6053333333333333,0.016000000000000025
pythia-1.4b,draw_1,11,0.647111111111111,0.026458446339799505
pythia-1.4b,draw_1,12,0.6373333333333333,0.03660668494573156
pythia-1.4b,draw_1,13,0.6239999999999999,0.021333333333333343
pythia-1.4b,draw_1,14,0.592,0.014713729206441654
pythia-1.4b,draw_1,15,0.5875555555555556,0.04266666666666664
pythia-1.4b,draw_1,16,0.6115555555555556,0.04165466493816883
pythia-1.4b,draw_1,17,0.6391111111111111,0.02273193218230119
pythia-1.4b,draw_1,18,0.6506666666666667,0.02241692482296622
pythia-1.4b,draw_1,19,0.6275555555555556,0.04500973831527882
pythia-1.4b,draw_1,20,0.6595555555555557,0.03829450529517871
pythia-1.4b,draw_1,21,0.6577777777777778,0.02894012550417726
pythia-1.4b,draw_1,22,0.6568888888888889,0.03412685123635992
pythia-1.4b,draw_1,23,0.6542222222222223,0.018517925916444144
pythia-1.4b,draw_2,0,0.5457777777777778,0.016245037228886275
pythia-1.4b,draw_2,1,0.6008888888888888,0.0237518030504665
pythia-1.4b,draw_2,2,0.5119999999999999,0.01624503722888629
pythia-1.4b,draw_2,3,0.5946666666666667,0.019955506062794337
pythia-1.4b,draw_2,4,0.6328888888888888,0.02378504561823937
pythia-1.4b,draw_2,5,0.6648888888888889,0.029827487529888917
pythia-1.4b,draw_2,6,0.6417777777777778,0.012122828175098539
pythia-1.4b,draw_2,7,0.6782222222222222,0.02427822272666249
pythia-1.4b,draw_2,8,0.6657777777777778,0.038273866918419525
pythia-1.4b,draw_2,9,0.671111111111111,0.02368517794573196
pythia-1.4b,draw_2,10,0.6542222222222221,0.0345868025926111
pythia-1.4b,draw_2,11,0.64,0.021591036091539766
pythia-1.4b,draw_2,12,0.6311111111111111,0.03325917677132391
pythia-1.4b,draw_2,13,0.6328888888888888,0.030352659695935768
pythia-1.4b,draw_2,14,0.5822222222222223,0.03290089870812753
pythia-1.4b,draw_2,15,0.5777777777777777,0.02529822128134702
pythia-1.4b,draw_2,16,0.616,0.027769776625445906
pythia-1.4b,draw_2,17,0.6382222222222221,0.034149995932975206
pythia-1.4b,draw_2,18,0.6524444444444445,0.02408216388292278
pythia-1.4b,draw_2,19,0.6284444444444446,0.02833311546757196
pythia-1.4b,draw_2,20,0.6915555555555557,0.017005445750852437
pythia-1.4b,draw_2,21,0.664,0.020770349236529644
pythia-1.4b,draw_2,22,0.7048888888888889,0.01653428910021181
pythia-1.4b,draw_2,23,0.7333333333333332,0.011589693164804706
pythia-1.4b,draw_3,0,0.5128888888888888,0.031123806933353954
pythia-1.4b,draw_3,1,0.584,0.015549205052920798
pythia-1.4b,draw_3,2,0.5031111111111111,0.04639284746915515
pythia-1.4b,draw_3,3,0.6106666666666667,0.018772188517282545
pythia-1.4b,draw_3,4,0.6124444444444445,0.02966812314360645
pythia-1.4b,draw_3,5,0.6577777777777778,0.036325007540804526
pythia-1.4b,draw_3,6,0.624,0.03249007445777256
pythia-1.4b,draw_3,7,0.5928888888888888,0.014222222222222204
pythia-1.4b,draw_3,8,0.6275555555555555,0.027455013709298665
pythia-1.4b,draw_3,9,0.6311111111111112,0.019270651901047816
pythia-1.4b,draw_3,10,0.6053333333333333,0.03270821243195393
pythia-1.4b,draw_3,11,0.608,0.03701451166872355
pythia-1.4b,draw_3,12,0.6355555555555557,0.05529717694220726
pythia-1.4b,draw_3,13,0.5955555555555556,0.03945305070430605
pythia-1.4b,draw_3,14,0.5831111111111111,0.03909090387074846
pythia-1.4b,draw_3,15,0.5564444444444444,0.04115853120992081
pythia-1.4b,draw_3,16,0.5831111111111111,0.02642856666189957
pythia-1.4b,draw_3,17,0.6284444444444445,0.03951308581492065
pythia-1.4b,draw_3,18,0.6595555555555557,0.03472359997266598
pythia-1.4b,draw_3,19,0.6275555555555556,0.03929250863164505
pythia-1.4b,draw_3,20,0.6666666666666667,0.046782923971344946
pythia-1.4b,draw_3,21,0.6675555555555556,0.031975299108631026
pythia-1.4b,draw_3,22,0.727111111111111,0.035287881317829714
pythia-1.4b,draw_3,23,0.6675555555555556,0.03185150731941142
