method,model,band,draw,size_multiplier,n_edges,n_edges_acdc_ref,total_edges,size_fraction,n_edges_method,n_edges_acdc,n_intersection,n_union,jaccard,recall_in_acdc,recall_in_method,dice
eap_ig,pythia-70m,very_low,draw_3,3.0,1134,378,1324,0.8564954682779456,1134,378,373,1139,0.32748024582967517,0.9867724867724867,0.3289241622574956,0.4933862433862434
eap_ig,pythia-70m,very_low,draw_3,5.0,1324,378,1324,1.0,1324,378,378,1324,0.2854984894259819,1.0,0.2854984894259819,0.44418331374853115
eap_ig,pythia-160m,very_low,draw_1,0.1,128,1278,11467,0.011162466207377693,128,1278,118,1288,0.09161490683229814,0.09233176838810642,0.921875,0.1678520625889047
eap_ig,pythia-160m,very_low,draw_1,0.2,256,1278,11467,0.022324932414755385,256,1278,228,1306,0.17457886676875958,0.1784037558685446,0.890625,0.29726205997392435
eap_ig,pythia-160m,very_low,draw_1,0.3,383,1278,11467,0.03340019185488794,383,1278,323,1338,0.2414050822122571,0.25273865414710484,0.8433420365535248,0.3889223359422035
eap_ig,pythia-160m,very_low,draw_1,0.5,639,1278,11467,0.05572512426964332,639,1278,497,1420,0.35,0.3888888888888889,0.7777777777777778,0.5185185185185185
eap_ig,pythia-160m,very_low,draw_1,0.75,958,1278,11467,0.08354408302084242,958,1278,642,1594,0.4027603513174404,0.5023474178403756,0.6701461377870563,0.5742397137745975
eap_ig,pythia-160m,very_low,draw_1,1.0,1278,1278,11467,0.11145024853928664,1278,1278,769,1787,0.4303301622831561,0.6017214397496088,0.6017214397496088,0.6017214397496088
eap_ig,pythia-160m,very_low,draw_1,1.5,1917,1278,11467,0.16717537280892997,1917,1278,926,2269,0.4081092992507713,0.7245696400625978,0.48304642670839854,0.5796557120500783
eap_ig,pythia-160m,very_low,draw_1,2.0,2556,1278,11467,0.2229004970785733,2556,1278,1056,2778,0.3801295896328294,0.8262910798122066,0.4131455399061033,0.5508607198748043
eap_ig,pythia-160m,very_low,draw_1,3.0,3834,1278,11467,0.33435074561785993,3834,1278,1164,3948,0.2948328267477204,0.9107981220657277,0.30359937402190923,0.45539906103286387
eap_ig,pythia-160m,very_low,draw_1,5.0,6390,1278,11467,0.5572512426964332,6390,1278,1253,6415,0.19532346063912703,0.9804381846635368,0.19608763693270737,0.3268127282211789
eap_ig,pythia-160m,very_low,draw_2,0.1,133,1334,11467,0.011598500043603384,133,1334,126,1341,0.09395973154362416,0.0944527736131934,0.9473684210526315,0.17177914110429449
eap_ig,pythia-160m,very_low,draw_2,0.2,267,1334,11467,0.023284206854451907,267,1334,239,1362,0.17547723935389134,0.17916041979010494,0.8951310861423221,0.2985633978763273
eap_ig,pythia-160m,very_low,draw_2,0.3,400,1334,11467,0.03488270689805529,400,1334,345,1389,0.24838012958963282,0.25862068965517243,0.8625,0.39792387543252594
eap_ig,pythia-160m,very_low,draw_2,0.5,667,1334,11467,0.058166913752507196,667,1334,514,1487,0.3456624075319435,0.3853073463268366,0.7706146926536732,0.5137431284357821
eap_ig,pythia-160m,very_low,draw_2,0.75,1000,1334,11467,0.08720676724513822,1000,1334,683,1651,0.4136886735311932,0.5119940029985007,0.683,0.585261353898886
eap_ig,pythia-160m,very_low,draw_2,1.0,1334,1334,11467,0.11633382750501439,1334,1334,804,1864,0.4313304721030043,0.6026986506746627,0.6026986506746627,0.6026986506746627
eap_ig,pythia-160m,very_low,draw_2,1.5,2001,1334,11467,0.17450074125752157,2001,1334,1006,2329,0.43194504079003865,0.7541229385307346,0.5027486256871564,0.6032983508245877
eap_ig,pythia-160m,very_low,draw_2,2.0,2668,1334,11467,0.23266765501002878,2668,1334,1114,2888,0.38573407202216065,0.8350824587706147,0.41754122938530736,0.5567216391804098
eap_ig,pythia-160m,very_low,draw_2,3.0,4002,1334,11467,0.34900148251504315,4002,1334,1227,4109,0.29861280116816746,0.9197901049475262,0.3065967016491754,0.4598950524737631
eap_ig,pythia-160m,very_low,draw_2,5.0,6670,1334,11467,0.581669137525072,6670,1334,1304,6700,0.19462686567164178,0.9775112443778111,0.19550224887556222,0.3258370814592704
eap_ig,pythia-160m,very_low,draw_3,0.1,132,1323,11467,0.011511293276358246,132,1323,124,1331,0.09316303531179564,0.09372637944066516,0.9393939393939394,0.170446735395189
eap_ig,pythia-160m,very_low,draw_3,0.2,265,1323,11467,0.02310979331996163,265,1323,239,1349,0.1771682727946627,0.18065003779289493,0.9018867924528302,0.30100755667506296
eap_ig,pythia-160m,very_low,draw_3,0.3,397,1323,11467,0.03462108659631988,397,1323,334,1386,0.240981240981241,0.25245653817082386,0.8413098236775819,0.3883720930232558
eap_ig,pythia-160m,very_low,draw_3,0.5,662,1323,11467,0.0577308799162815,662,1323,505,1480,0.34121621621621623,0.381708238851096,0.7628398791540786,0.5088161209068011
eap_ig,pythia-160m,very_low,draw_3,0.75,992,1323,11467,0.08650911310717711,992,1323,657,1658,0.3962605548854041,0.4965986394557823,0.6622983870967742,0.5676025917926566
eap_ig,pythia-160m,very_low,draw_3,1.0,1323,1323,11467,0.11537455306531787,1323,1323,800,1846,0.4333694474539545,0.6046863189720333,0.6046863189720333,0.6046863189720333
eap_ig,pythia-160m,very_low,draw_3,1.5,1984,1323,11467,0.17301822621435423,1984,1323,960,2347,0.4090328078397955,0.7256235827664399,0.4838709677419355,0.5805866344118537
eap_ig,pythia-160m,very_low,draw_3,2.0,2646,1323,11467,0.23074910613063573,2646,1323,1082,2887,0.3747835122965016,0.817838246409675,0.4089191232048375,0.54522549760645
eap_ig,pythia-160m,very_low,draw_3,3.0,3969,1323,11467,0.3461236591959536,3969,1323,1210,4082,0.2964233219010289,0.9145880574452003,0.30486268581506676,0.45729402872260017
eap_ig,pythia-160m,very_low,draw_3,5.0,6615,1323,11467,0.5768727653265894,6615,1323,1289,6649,0.1938637389081065,0.9743008314436886,0.19486016628873773,0.32476694381456284
eap_ig,pythia-410m,very_low,draw_1,0.1,374,3742,80581,0.004641292612402427,374,3742,327,3789,0.08630245447347586,0.08738642437199359,0.8743315508021391,0.1588921282798834
eap_ig,pythia-410m,very_low,draw_1,0.2,748,3742,80581,0.009282585224804855,748,3742,582,3908,0.1489252814738997,0.15553180117584178,0.7780748663101604,0.2592427616926503
eap_ig,pythia-410m,very_low,draw_1,0.3,1123,3742,80581,0.013936287710502477,1123,3742,813,4052,0.2006416584402764,0.21726349545697488,0.723953695458593,0.334224049331963
eap_ig,pythia-410m,very_low,draw_1,0.5,1871,3742,80581,0.02321887293530733,1871,3742,1176,4437,0.2650439486139283,0.31427044361304113,0.6285408872260823,0.41902725815072156
eap_ig,pythia-410m,very_low,draw_1,0.75,2806,3742,80581,0.0348221044663134,2806,3742,1537,5011,0.30672520454999,0.4107429182255478,0.5477548111190307,0.469456322541234
eap_ig,pythia-410m,very_low,draw_1,1.0,3742,3742,80581,0.04643774587061466,3742,3742,1867,5617,0.332383834787253,0.4989310529128808,0.4989310529128808,0.4989310529128808
eap_ig,pythia-410m,very_low,draw_1,1.5,5613,3742,80581,0.06965661880592199,5613,3742,2340,7015,0.33357091945830364,0.6253340459647247,0.4168893639764832,0.5002672367717798
eap_ig,pythia-410m,very_low,draw_1,2.0,7484,3742,80581,0.09287549174122932,7484,3742,2671,8555,0.31221507890122735,0.7137894174238375,0.35689470871191875,0.4758596116158917
eap_ig,pythia-410m,very_low,draw_1,3.0,11226,3742,80581,0.13931323761184397,11226,3742,3098,11870,0.2609941027801179,0.8278995189738108,0.2759665063246036,0.4139497594869054
eap_ig,pythia-410m,very_low,draw_1,5.0,18710,3742,80581,0.2321887293530733,18710,3742,3444,19008,0.18118686868686867,0.9203634420096205,0.18407268840192412,0.3067878140032068
eap_ig,pythia-410m,very_low,draw_2,0.1,382,3819,80581,0.004740571598763977,382,3819,332,3869,0.08581028689583872,0.0869337522911757,0.8691099476439791,0.15805760533206378
eap_ig,pythia-410m,very_low,draw_2,0.2,764,3819,80581,0.009481143197527953,764,3819,596,3987,0.14948582894406823,0.15606179628174915,0.7801047120418848,0.2600916430285839
eap_ig,pythia-410m,very_low,draw_2,0.3,1146,3819,80581,0.01422171479629193,1146,3819,827,4138,0.19985500241662638,0.21654883477350093,0.7216404886561955,0.33313192346424975
eap_ig,pythia-410m,very_low,draw_2,0.5,1910,3819,80581,0.023702857993819885,1910,3819,1218,4511,0.27000665041010863,0.31893165750196384,0.6376963350785341,0.4252050968755455
eap_ig,pythia-410m,very_low,draw_2,0.75,2864,3819,80581,0.03554187711743463,2864,3819,1589,5094,0.31193561052218294,0.4160775072008379,0.55481843575419,0.47553493939847374
eap_ig,pythia-410m,very_low,draw_2,1.0,3819,3819,80581,0.04739330611434457,3819,3819,1902,5736,0.33158995815899583,0.49803613511390415,0.49803613511390415,0.49803613511390415
eap_ig,pythia-410m,very_low,draw_2,1.5,5728,3819,80581,0.07108375423486926,5728,3819,2393,7154,0.3344981828347777,0.6266038229903116,0.4177723463687151,0.5013093118257044
