model,draw,layer,mi_probe,mi_fano,probe_accuracy,method
pythia-1b,draw_1,8,1.01645341762884,0.5395480760233158,0.5955555555555556,probe
pythia-1b,draw_1,9,1.0563754851123695,0.5555824932648112,0.6017777777777779,probe
pythia-1b,draw_1,10,0.9951151795093014,0.514819236391141,0.5857777777777777,probe
pythia-1b,draw_1,11,1.0892788648720666,0.6343351870990346,0.6311111111111112,probe
pythia-1b,draw_1,12,1.1534413897309443,0.6975389381689958,0.6533333333333333,probe
pythia-1b,draw_1,13,1.2365895504806201,0.7913343381229796,0.6844444444444445,probe
pythia-1b,draw_1,14,1.238463093372502,0.7858034797271729,0.6826666666666666,probe
pythia-1b,draw_1,15,1.2691539247190267,0.8334932626970297,0.6977777777777778,probe
pythia-1b,draw_2,0,0.9446990708875802,0.47771878274758217,0.5706666666666667,probe
pythia-1b,draw_2,1,0.9444368836854793,0.4993789342480264,0.5795555555555556,probe
pythia-1b,draw_2,2,0.9437027958647171,0.4950095636042766,0.5777777777777777,probe
pythia-1b,draw_2,3,0.9245349948729245,0.47344266230210885,0.5688888888888888,probe
pythia-1b,draw_2,4,0.9391156657261097,0.4820135134933661,0.5724444444444445,probe
pythia-1b,draw_2,5,0.9878741088073952,0.560206513037744,0.6035555555555556,probe
pythia-1b,draw_2,6,0.9665404438304046,0.5372764021058603,0.5946666666666667,probe
pythia-1b,draw_2,7,0.991538254962991,0.5259889047405473,0.5902222222222222,probe
pythia-1b,draw_2,8,0.9717229387137045,0.48201351349336585,0.5724444444444444,probe
pythia-1b,draw_2,9,1.0074726073401783,0.5259889047405473,0.5902222222222222,probe
pythia-1b,draw_2,10,0.9352527690039822,0.4820135134933661,0.5724444444444445,probe
pythia-1b,draw_2,11,1.0778828466511186,0.629412159525351,0.6293333333333333,probe
pythia-1b,draw_2,12,1.1660675294275693,0.7027299368466711,0.6551111111111111,probe
pythia-1b,draw_2,13,1.2813094285395317,0.7858034797271733,0.6826666666666668,probe
pythia-1b,draw_2,14,1.242615609304454,0.8024594537453398,0.688,probe
pythia-1b,draw_2,15,1.270451445942346,0.8164853966339378,0.6924444444444444,probe
pythia-1b,draw_3,0,0.8859718031101855,0.4481757376366502,0.5582222222222223,probe
pythia-1b,draw_3,1,0.9201982160681879,0.48201351349336585,0.5724444444444444,probe
pythia-1b,draw_3,2,0.9476495696142488,0.5015706353150591,0.5804444444444444,probe
pythia-1b,draw_3,3,0.9124616621183699,0.5192729890458763,0.5875555555555556,probe
pythia-1b,draw_3,4,0.9406913860706934,0.5170437622852708,0.5866666666666667,probe
pythia-1b,draw_3,5,0.9576742596602286,0.5372764021058603,0.5946666666666667,probe
pythia-1b,draw_3,6,0.9619166542103335,0.5463915061024367,0.5982222222222222,probe
pythia-1b,draw_3,7,0.9817959847114639,0.5509775004326936,0.6,probe
pythia-1b,draw_3,8,0.9691797733623584,0.5304897422019836,0.592,probe
pythia-1b,draw_3,9,1.0130096750456294,0.5327472384616458,0.5928888888888889,probe
pythia-1b,draw_3,10,0.9975413470971899,0.5883518648266879,0.6142222222222222,probe
pythia-1b,draw_3,11,1.0968075046009171,0.6846494134590968,0.6488888888888888,probe
pythia-1b,draw_3,12,1.1272953856079813,0.689790172348786,0.6506666666666666,probe
pythia-1b,draw_3,13,1.211068473301589,0.7693369419050682,0.6773333333333332,probe
pythia-1b,draw_3,14,1.205010095114948,0.76388990296662,0.6755555555555557,probe
