model,draw,layer,h_y,h_y_given_x,info_fraction
pythia-1.4b,draw_2,10,2.321928094887362,1.4598660124095366,0.3712699305271314
pythia-1.4b,draw_2,11,2.321928094887362,1.3019268467604395,0.4392906267738681
pythia-1.4b,draw_2,12,2.321928094887362,1.2762127161959105,0.45036510001924923
pythia-1.4b,draw_2,13,2.321928094887362,1.3053797804482468,0.4378035291779475
pythia-1.4b,draw_2,14,2.321928094887362,1.2956135339064454,0.4420096226238668
pythia-1.4b,draw_2,15,2.321928094887362,1.2891238608040325,0.4448045726986354
pythia-1.4b,draw_2,16,2.321928094887362,1.2524824262777385,0.46058517960329126
pythia-1.4b,draw_2,17,2.321928094887362,1.2614994517761398,0.45670175809757985
pythia-1.4b,draw_2,18,2.321928094887362,1.2469703065275666,0.46295912036498366
pythia-1.4b,draw_2,19,2.321928094887362,1.2213345760919498,0.4739998285126924
pythia-1.4b,draw_2,20,2.321928094887362,1.2154292414601875,0.4765431177061714
pythia-1.4b,draw_2,21,2.321928094887362,1.1979579830355649,0.48406757914969867
pythia-1.4b,draw_2,22,2.321928094887362,1.1804735095465069,0.49159773201169166
pythia-1.4b,draw_2,23,2.321928094887362,1.2003466490377872,0.4830388366974746
pythia-1.4b,draw_3,0,2.321928094887362,1.3435567127549874,0.4213616193742795
pythia-1.4b,draw_3,1,2.321928094887362,1.2093927092769752,0.4791429106095366
pythia-1.4b,draw_3,2,2.321928094887362,1.2128093869089256,0.4776714276469618
pythia-1.4b,draw_3,3,2.321928094887362,1.2677752088556415,0.45399893663927526
pythia-1.4b,draw_3,4,2.321928094887362,1.3079024788563824,0.43671706211047445
pythia-1.4b,draw_3,5,2.321928094887362,1.3561119140468094,0.4159543884959991
pythia-1.4b,draw_3,6,2.321928094887362,1.383152626418088,0.40430858756408417
pythia-1.4b,draw_3,7,2.321928094887362,1.4503522356449814,0.37536729115836864
pythia-1.4b,draw_3,8,2.321928094887362,1.469636658898315,0.36706194212719245
pythia-1.4b,draw_3,9,2.321928094887362,1.5367357779532376,0.3381639244828616
pythia-1.4b,draw_3,10,2.321928094887362,1.4894944413321638,0.35850966073761215
pythia-1.4b,draw_3,11,2.321928094887362,1.333795363484715,0.4255656036801527
pythia-1.4b,draw_3,12,2.321928094887362,1.3452540340112942,0.4206306228976685
pythia-1.4b,draw_3,13,2.321928094887362,1.325708213861282,0.42904854944459736
pythia-1.4b,draw_3,14,2.321928094887362,1.3083958665616398,0.43650457159177847
pythia-1.4b,draw_3,15,2.321928094887362,1.3082034859611682,0.43658742540662965
pythia-1.4b,draw_3,16,2.321928094887362,1.2712621184120958,0.45249720643318836
pythia-1.4b,draw_3,17,2.321928094887362,1.2824852267886109,0.44766367674670615
pythia-1.4b,draw_3,18,2.321928094887362,1.2714904307451347,0.45239887766342946
pythia-1.4b,draw_3,19,2.321928094887362,1.2647701143658114,0.45529316039084056
pythia-1.4b,draw_3,20,2.321928094887362,1.260733309164625,0.45703171776050044
pythia-1.4b,draw_3,21,2.321928094887362,1.2461036741359044,0.4633323586205397
pythia-1.4b,draw_3,22,2.321928094887362,1.2443725176929854,0.46407792711886264
pythia-1.4b,draw_3,23,2.321928094887362,1.2871043156321371,0.4456743434621411
