model,draw,band,layer,mean_norm,std_norm,median_norm
pythia-410m,draw_2,medium,9,11.766751289367676,1.003044605255127,11.700778007507324
pythia-410m,draw_2,medium,10,10.822105407714844,0.8650927543640137,10.783452033996582
pythia-410m,draw_2,medium,11,10.927334785461426,0.7269922494888306,10.83677864074707
pythia-410m,draw_2,medium,12,8.71501636505127,0.522234320640564,8.746820449829102
pythia-410m,draw_2,medium,13,14.535820007324219,2.566006898880005,14.565396308898926
pythia-410m,draw_2,medium,14,10.918479919433594,1.2992810010910034,10.872901916503906
pythia-410m,draw_2,medium,15,10.829458236694336,1.0730414390563965,10.757292747497559
pythia-410m,draw_2,medium,16,13.465108871459961,1.1113346815109253,13.56704330444336
pythia-410m,draw_2,medium,17,15.281229019165039,5.856024265289307,12.771185874938965
pythia-410m,draw_2,medium,18,15.493610382080078,3.856590747833252,14.643654823303223
pythia-410m,draw_2,medium,19,25.47239112854004,3.6388742923736572,25.737056732177734
pythia-410m,draw_2,medium,20,18.026287078857422,7.967076778411865,15.685937881469727
pythia-410m,draw_2,medium,21,19.367631912231445,2.88944935798645,19.126216888427734
pythia-410m,draw_2,medium,22,21.463645935058594,2.578948736190796,21.468271255493164
pythia-410m,draw_2,medium,23,46.72422409057617,3.9206273555755615,46.995338439941406
pythia-410m,draw_2,high,0,11.208205223083496,0.8122907876968384,11.113835334777832
pythia-410m,draw_2,high,1,6.224854469299316,0.8762624859809875,6.076018333435059
pythia-410m,draw_2,high,2,6.503965854644775,0.4807233512401581,6.543908596038818
pythia-410m,draw_2,high,3,6.5425028800964355,0.44292140007019043,6.531031608581543
pythia-410m,draw_2,high,4,6.804781913757324,0.524551272392273,6.746267318725586
pythia-410m,draw_2,high,5,9.129042625427246,0.578211784362793,9.081408500671387
pythia-410m,draw_2,high,6,7.367885589599609,0.310851126909256,7.3557891845703125
pythia-410m,draw_2,high,7,8.266426086425781,0.4567093849182129,8.245198249816895
pythia-410m,draw_2,high,8,10.901649475097656,0.737392783164978,10.857935905456543
pythia-410m,draw_2,high,9,11.727090835571289,0.9350878596305847,11.654922485351562
pythia-410m,draw_2,high,10,10.530967712402344,0.9090878963470459,10.407096862792969
pythia-410m,draw_2,high,11,10.545269012451172,0.7363380193710327,10.5396089553833
pythia-410m,draw_2,high,12,8.594786643981934,0.5548920631408691,8.581960678100586
pythia-410m,draw_2,high,13,14.363259315490723,2.4436326026916504,14.349021911621094
pythia-410m,draw_2,high,14,10.839527130126953,1.267961025238037,10.893077850341797
pythia-410m,draw_2,high,15,10.64721393585205,1.0969284772872925,10.464336395263672
pythia-410m,draw_2,high,16,13.810325622558594,1.1358975172042847,13.877884864807129
pythia-410m,draw_2,high,17,13.339900016784668,4.535820007324219,11.527902603149414
pythia-410m,draw_2,high,18,14.417426109313965,3.3802409172058105,13.784262657165527
pythia-410m,draw_2,high,19,26.0993709564209,3.8009448051452637,26.204429626464844
pythia-410m,draw_2,high,20,17.631799697875977,7.541384220123291,15.632197380065918
pythia-410m,draw_2,high,21,19.25322914123535,3.096362352371216,18.979736328125
pythia-410m,draw_2,high,22,21.232994079589844,2.395576238632202,21.002132415771484
pythia-410m,draw_2,high,23,47.2265625,4.27177619934082,47.4876823425293
pythia-410m,draw_2,very_high,0,10.460282325744629,0.608444333076477,10.3882417678833
pythia-410m,draw_2,very_high,1,5.910599708557129,0.607954204082489,5.824227809906006
pythia-410m,draw_2,very_high,2,6.51255464553833,0.507777988910675,6.453965187072754
pythia-410m,draw_2,very_high,3,6.816702365875244,0.5011683106422424,6.7473344802856445
pythia-410m,draw_2,very_high,4,6.893216133117676,0.5612417459487915,6.855724811553955
pythia-410m,draw_2,very_high,5,8.867924690246582,0.5417577028274536,8.832261085510254
pythia-410m,draw_2,very_high,6,7.344025611877441,0.3504357933998108,7.345996379852295
pythia-410m,draw_2,very_high,7,8.182988166809082,0.42505010962486267,8.14291763305664
pythia-410m,draw_2,very_high,8,10.799873352050781,0.7869439125061035,10.777642250061035
pythia-410m,draw_2,very_high,9,11.425247192382812,1.0207747220993042,11.408666610717773
pythia-410m,draw_2,very_high,10,10.122838973999023,0.8988972306251526,10.028745651245117
pythia-410m,draw_2,very_high,11,10.138474464416504,0.705272912979126,10.12071418762207
pythia-410m,draw_2,very_high,12,8.308469772338867,0.5088897943496704,8.335430145263672
pythia-410m,draw_2,very_high,13,13.964203834533691,2.5879476070404053,13.986845016479492
pythia-410m,draw_2,very_high,14,10.55634593963623,1.293007254600525,10.590327262878418
pythia-410m,draw_2,very_high,15,10.516240119934082,1.0220385789871216,10.487469673156738
pythia-410m,draw_2,very_high,16,14.15333366394043,1.292240023612976,14.182120323181152
pythia-410m,draw_2,very_high,17,12.515830993652344,4.291931629180908,11.054439544677734
pythia-410m,draw_2,very_high,18,13.95168399810791,2.898076295852661,13.443108558654785
pythia-410m,draw_2,very_high,19,25.291324615478516,4.398934364318848,25.593059539794922
pythia-410m,draw_2,very_high,20,16.62789535522461,7.239560127258301,14.4957857131958
pythia-410m,draw_2,very_high,21,21.058753967285156,4.792726993560791,20.514114379882812
pythia-410m,draw_2,very_high,22,21.10932731628418,2.419844150543213,21.342195510864258
pythia-410m,draw_2,very_high,23,47.563880920410156,4.26101541519165,47.53041458129883
pythia-410m,draw_2,control,0,10.863483428955078,1.0398722887039185,10.6491060256958
