model,draw,band,model_capacity,d_mlp,n_layers,peak_probe_accuracy,peak_probe_layer,peak_separation_ratio,mean_mlp_frac,mean_gini,mean_frac_selective,max_mean_f_stat,peak_logit_contrib
pythia-1.4b,draw_1,control,1400,8192,24,0.6764444444444445,23.0,29.786575696921126,0.5704525244732698,0.3669441677313388,0.649688720703125,58.85332072654265,5.345949649810791
pythia-1.4b,draw_2,low,1400,8192,24,,,29.824706142232948,0.5709014616906642,0.37175521931700534,,,9.719051361083984
pythia-1.4b,draw_2,medium,1400,8192,24,,,29.824706142232948,0.5709014616906642,0.37043382834776,,,8.56353759765625
pythia-1.4b,draw_2,high,1400,8192,24,,,29.824706142232948,0.5709014616906642,0.3676967447212167,,,6.620630741119385
pythia-1.4b,draw_2,very_high,1400,8192,24,,,29.824706142232948,0.5709014616906642,0.36649724488487206,,,4.600315093994141
pythia-1.4b,draw_2,control,1400,8192,24,,,29.824706142232948,0.5709014616906642,0.3668275595311104,,,5.3504838943481445
pythia-1.4b,draw_3,low,1400,8192,24,,,29.516865922025453,0.5710530690848827,0.37163332494375,,,9.911662101745605
pythia-1.4b,draw_3,medium,1400,8192,24,,,29.516865922025453,0.5710530690848827,0.3706543876062909,,,8.599364280700684
pythia-1.4b,draw_3,high,1400,8192,24,,,29.516865922025453,0.5710530690848827,0.3684683139495588,,,6.691413402557373
pythia-1.4b,draw_3,very_high,1400,8192,24,,,29.516865922025453,0.5710530690848827,0.3663426817738846,,,4.6029486656188965
pythia-1.4b,draw_3,control,1400,8192,24,,,29.516865922025453,0.5710530690848827,0.36642939034064925,,,5.235587120056152
