model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-410m,draw_1,control,19,0.20634301006793976,0.30768322944641113,0.20199300348758698,direct
pythia-410m,draw_1,control,20,0.18223758041858673,0.2443273365497589,0.18173085153102875,direct
pythia-410m,draw_1,control,21,0.12614759802818298,0.34039387106895447,0.16890035569667816,direct
pythia-410m,draw_1,control,22,0.5495885014533997,0.4105750024318695,0.5696888566017151,direct
pythia-410m,draw_1,control,23,2.8389434814453125,0.7351815700531006,2.8409647941589355,direct
pythia-410m,draw_2,low,0,-0.019486071541905403,0.33316901326179504,0.008206300437450409,direct
pythia-410m,draw_2,low,1,-0.013638341799378395,0.13182561099529266,-0.016819030046463013,direct
pythia-410m,draw_2,low,2,-0.003813532181084156,0.14113809168338776,-0.0013861879706382751,direct
pythia-410m,draw_2,low,3,-0.0006806152523495257,0.15141966938972473,-0.0002708025276660919,direct
pythia-410m,draw_2,low,4,-0.01621519774198532,0.15608303248882294,-0.017362043261528015,direct
pythia-410m,draw_2,low,5,-0.027378922328352928,0.22505822777748108,-0.027931779623031616,direct
pythia-410m,draw_2,low,6,0.03678847476840019,0.17415368556976318,0.02752726525068283,direct
pythia-410m,draw_2,low,7,0.044868625700473785,0.19264359772205353,0.024668388068675995,direct
pythia-410m,draw_2,low,8,-0.005136007908731699,0.21942107379436493,-0.001617714762687683,direct
pythia-410m,draw_2,low,9,-0.05269794538617134,0.25723564624786377,-0.057757820934057236,direct
pythia-410m,draw_2,low,10,0.06223158910870552,0.23402570188045502,0.073304682970047,direct
pythia-410m,draw_2,low,11,-0.12410029768943787,0.2579505443572998,-0.10552152991294861,direct
pythia-410m,draw_2,low,12,-0.10300920158624649,0.19853146374225616,-0.10783302783966064,direct
pythia-410m,draw_2,low,13,-0.05080198124051094,0.27648791670799255,-0.05336962640285492,direct
pythia-410m,draw_2,low,14,-0.01762610673904419,0.21713346242904663,-0.02516317367553711,direct
