model,band,draw,layer,head,base_induction_score,circuit_induction_score,delta_induction,in_base_induction,in_circuit_induction
pythia-410m,medium,draw_1,7,0,0.38362544775009155,0.3805447816848755,-0.0030806660652160645,True,True
pythia-410m,medium,draw_1,1,4,0.5979432463645935,0.5998038649559021,0.0018606185913085938,True,True
pythia-410m,medium,draw_1,9,8,0.7111281752586365,0.6962409019470215,-0.01488727331161499,True,True
pythia-410m,medium,draw_1,0,5,0.7100479006767273,0.7100479006767273,0.0,True,True
pythia-410m,medium,draw_1,6,0,0.9601952433586121,0.9688445329666138,0.008649289608001709,True,True
pythia-410m,medium,draw_1,7,8,0.8858367204666138,0.8924678564071655,0.006631135940551758,True,True
pythia-410m,medium,draw_2,9,9,0.31558966636657715,0.29873159527778625,-0.016858071088790894,True,True
pythia-410m,medium,draw_2,2,10,0.6095961928367615,0.6125911474227905,0.0029949545860290527,True,True
pythia-410m,medium,draw_2,7,0,0.3781181573867798,0.3713429868221283,-0.006775170564651489,True,True
pythia-410m,medium,draw_2,1,4,0.6059810519218445,0.6204361915588379,0.014455139636993408,True,True
pythia-410m,medium,draw_2,9,8,0.7243363857269287,0.7151035666465759,-0.009232819080352783,True,True
pythia-410m,medium,draw_2,0,5,0.7064776420593262,0.7064776420593262,0.0,True,True
pythia-410m,medium,draw_2,6,0,0.9570960402488708,0.961907148361206,0.004811108112335205,True,True
pythia-410m,medium,draw_2,7,8,0.8813266158103943,0.8834018111228943,0.0020751953125,True,True
pythia-410m,medium,draw_3,9,9,0.3256709575653076,0.3288264870643616,0.003155529499053955,True,True
pythia-410m,medium,draw_3,2,10,0.6124171018600464,0.6280596256256104,0.015642523765563965,True,True
pythia-410m,medium,draw_3,7,0,0.38332873582839966,0.37762606143951416,-0.005702674388885498,True,True
pythia-410m,medium,draw_3,1,4,0.5981671810150146,0.6014513969421387,0.0032842159271240234,True,True
pythia-410m,medium,draw_3,9,8,0.7258309125900269,0.7126179933547974,-0.013212919235229492,True,True
pythia-410m,medium,draw_3,0,5,0.7009140849113464,0.7009140849113464,0.0,True,True
pythia-410m,medium,draw_3,6,0,0.9589820504188538,0.9645009636878967,0.005518913269042969,True,True
pythia-410m,medium,draw_3,7,8,0.8749654293060303,0.8775938153266907,0.0026283860206604004,True,True
pythia-410m,high,draw_1,9,9,0.2918228507041931,0.2904346287250519,-0.0013882219791412354,True,True
pythia-410m,high,draw_1,2,10,0.614403486251831,0.6255502104759216,0.011146724224090576,True,True
pythia-410m,high,draw_1,7,0,0.3644135892391205,0.3628157675266266,-0.0015978217124938965,True,True
pythia-410m,high,draw_1,1,4,0.5893393158912659,0.5941247344017029,0.004785418510437012,True,True
pythia-410m,high,draw_1,9,8,0.7057110071182251,0.6837031841278076,-0.02200782299041748,True,True
pythia-410m,high,draw_1,0,5,0.6906762719154358,0.6906762719154358,0.0,True,True
pythia-410m,high,draw_1,6,0,0.9741581082344055,0.9778411388397217,0.003683030605316162,True,True
pythia-410m,high,draw_1,7,8,0.8858762383460999,0.8926982879638672,0.006822049617767334,True,True
pythia-410m,high,draw_2,9,9,0.3146994411945343,0.30608683824539185,-0.008612602949142456,True,True
pythia-410m,high,draw_2,2,10,0.6118507385253906,0.6210251450538635,0.0091744065284729,True,True
pythia-410m,high,draw_2,7,0,0.3778701424598694,0.37459224462509155,-0.003277897834777832,True,True
pythia-410m,high,draw_2,1,4,0.5807005763053894,0.5906108021736145,0.009910225868225098,True,True
pythia-410m,high,draw_2,9,8,0.6993427872657776,0.6716098785400391,-0.027732908725738525,True,True
