model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-1b,draw_1,very_high,2,5,3.588627338409424,0.18088534474372864,3.5860934257507324
pythia-1b,draw_1,very_high,2,6,3.3888580799102783,0.25842276215553284,3.404927968978882
pythia-1b,draw_1,very_high,2,7,2.9954230785369873,0.39130136370658875,3.025569200515747
pythia-1b,draw_1,very_high,3,0,3.305734395980835,0.3018181324005127,3.3523941040039062
pythia-1b,draw_1,very_high,3,1,4.015597343444824,0.18448004126548767,4.051947593688965
pythia-1b,draw_1,very_high,3,2,3.014087438583374,0.3470974266529083,3.034778356552124
pythia-1b,draw_1,very_high,3,3,2.7131190299987793,0.5010163187980652,2.7810592651367188
pythia-1b,draw_1,very_high,3,4,3.342498540878296,0.37197345495224,3.417621612548828
pythia-1b,draw_1,very_high,3,5,0.1718732714653015,0.1945640742778778,0.1033284142613411
pythia-1b,draw_1,very_high,3,6,2.5635037422180176,0.42897582054138184,2.6139395236968994
pythia-1b,draw_1,very_high,3,7,2.1288657188415527,0.33113521337509155,2.1371021270751953
pythia-1b,draw_1,very_high,4,0,3.275686025619507,0.4129525423049927,3.3473262786865234
pythia-1b,draw_1,very_high,4,1,2.221029043197632,0.2879084646701813,2.219916343688965
pythia-1b,draw_1,very_high,4,2,2.8941683769226074,0.32866954803466797,2.889421224594116
pythia-1b,draw_1,very_high,4,3,1.6082993745803833,0.5946738123893738,1.554019808769226
pythia-1b,draw_1,very_high,4,4,0.41012629866600037,0.3069712221622467,0.33422449231147766
pythia-1b,draw_1,very_high,4,5,2.509772777557373,0.5262198448181152,2.550126791000366
pythia-1b,draw_1,very_high,4,6,3.7449684143066406,0.19585095345973969,3.763244390487671
pythia-1b,draw_1,very_high,4,7,3.1635427474975586,0.28958553075790405,3.186284065246582
pythia-1b,draw_1,very_high,5,0,3.44486403465271,0.3513076901435852,3.514904022216797
pythia-1b,draw_1,very_high,5,1,0.6527153253555298,0.281674325466156,0.6164616346359253
pythia-1b,draw_1,very_high,5,2,3.793773651123047,0.30133727192878723,3.8650591373443604
pythia-1b,draw_1,very_high,5,3,2.363556385040283,0.3483324646949768,2.3683202266693115
pythia-1b,draw_1,very_high,5,4,3.8106586933135986,0.20426006615161896,3.830134153366089
pythia-1b,draw_1,very_high,5,5,2.4852240085601807,0.4086800515651703,2.4777450561523438
pythia-1b,draw_1,very_high,5,6,3.050739049911499,0.46432819962501526,3.109103202819824
pythia-1b,draw_1,very_high,5,7,1.4281586408615112,0.3345836102962494,1.420656442642212
pythia-1b,draw_1,very_high,6,0,2.206280469894409,0.4854283928871155,2.229668140411377
pythia-1b,draw_1,very_high,6,1,3.6633059978485107,0.32968541979789734,3.704416513442993
pythia-1b,draw_1,very_high,6,2,3.3141634464263916,0.28800851106643677,3.3393797874450684
pythia-1b,draw_1,very_high,6,3,0.5272917747497559,0.24724309146404266,0.48261451721191406
pythia-1b,draw_1,very_high,6,4,2.039013147354126,0.4758886992931366,2.015260696411133
pythia-1b,draw_1,very_high,6,5,3.2331151962280273,0.23285295069217682,3.2307119369506836
pythia-1b,draw_1,very_high,6,6,3.212205410003662,0.4208649694919586,3.295132637023926
pythia-1b,draw_1,very_high,6,7,1.994214415550232,0.6097452640533447,1.9757869243621826
pythia-1b,draw_1,very_high,7,0,1.137939453125,0.6428900957107544,1.046976923942566
pythia-1b,draw_1,very_high,7,1,0.5568720102310181,0.42730581760406494,0.4232160747051239
pythia-1b,draw_1,very_high,7,2,1.999478816986084,0.808923602104187,2.1210949420928955
pythia-1b,draw_1,very_high,7,3,2.8571202754974365,0.293474018573761,2.894969940185547
pythia-1b,draw_1,very_high,7,4,3.5618436336517334,0.3667946457862854,3.6326956748962402
pythia-1b,draw_1,very_high,7,5,1.7322173118591309,0.6111636161804199,1.7265207767486572
