model,threshold_k,test_band,mean_acc,std_acc,mean_top5,mean_n_edges,base_acc,full_circuit_acc,universal_acc,recovery,edge_fraction
pythia-160m,5,very_high,0.7051851851851852,0.03276051020369773,0.8488888888888889,713.3333333333334,0.9688888888888888,0.9511111111111112,0.7051851851851852,0.7414330218068536,0.5071570765001422
pythia-1b,1,control,0.9748148148148149,0.014286890016285931,0.9955555555555556,1730.3333333333333,0.9896296296296296,0.9407407407407408,0.4518518518518519,1.036220472440945,1.8913502878379362
pythia-1b,1,high,0.9866666666666667,0.007698003589195036,0.997037037037037,1730.3333333333333,0.9896296296296296,0.9362962962962964,0.4874074074074073,1.0537974683544302,1.8913502878379362
pythia-1b,1,low,0.9614814814814814,0.02004111001254619,0.9925925925925926,1730.3333333333333,0.9762962962962964,0.9051851851851852,0.2266666666666666,1.0621931260229132,1.8913502878379362
pythia-1b,1,medium,0.9822222222222222,0.00769800358919506,1.0,1730.3333333333333,0.9896296296296296,0.9348148148148148,0.4103703703703703,1.0507131537242473,1.8913502878379362
pythia-1b,1,very_high,0.9748148148148147,0.013578002059128466,0.9955555555555556,1730.3333333333333,0.9911111111111112,0.9362962962962964,0.5111111111111111,1.041139240506329,1.8913502878379362
pythia-1b,2,control,0.9748148148148149,0.011184939904104796,0.9985185185185186,1138.0,0.9896296296296296,0.9407407407407408,0.4518518518518519,1.036220472440945,1.243897107046564
pythia-1b,2,high,0.9748148148148147,0.005132002392796658,0.997037037037037,1138.0,0.9896296296296296,0.9362962962962964,0.4874074074074073,1.041139240506329,1.243897107046564
pythia-1b,2,low,0.9407407407407407,0.02100362500556717,0.9851851851851853,1138.0,0.9762962962962964,0.9051851851851852,0.2266666666666666,1.039279869067103,1.243897107046564
pythia-1b,2,medium,0.9688888888888889,0.00769800358919506,0.994074074074074,1138.0,0.9896296296296296,0.9348148148148148,0.4103703703703703,1.0364500792393028,1.243897107046564
pythia-1b,2,very_high,0.9703703703703703,0.006789001029564157,0.9985185185185186,1138.0,0.9911111111111112,0.9362962962962964,0.5111111111111111,1.036392405063291,1.243897107046564
pythia-1b,3,control,0.9674074074074074,0.006789001029564264,0.9911111111111112,803.0,0.9896296296296296,0.9407407407407408,0.4518518518518519,1.0283464566929132,0.8777235298404139
pythia-1b,3,high,0.9614814814814815,0.006789001029564179,0.9955555555555556,803.0,0.9896296296296296,0.9362962962962964,0.4874074074074073,1.0268987341772151,0.8777235298404139
pythia-1b,3,low,0.9362962962962963,0.025272180902565892,0.9822222222222222,803.0,0.9762962962962964,0.9051851851851852,0.2266666666666666,1.034369885433715,0.8777235298404139
pythia-1b,3,medium,0.9570370370370371,0.015608375930152237,0.9955555555555556,803.0,0.9896296296296296,0.9348148148148148,0.4103703703703703,1.023771790808241,0.8777235298404139
pythia-1b,3,very_high,0.96,0.007698003589195036,0.997037037037037,803.0,0.9911111111111112,0.9362962962962964,0.5111111111111111,1.0253164556962024,0.8777235298404139
pythia-1b,4,control,0.8903703703703704,0.033358015553178355,0.9718518518518519,547.0,0.9896296296296296,0.9407407407407408,0.4518518518518519,0.9464566929133857,0.5979013335276543
pythia-1b,4,high,0.8696296296296296,0.03727332037158257,0.9525925925925925,547.0,0.9896296296296296,0.9362962962962964,0.4874074074074073,0.9287974683544303,0.5979013335276543
pythia-1b,4,low,0.7288888888888888,0.05828834243824003,0.8933333333333332,547.0,0.9762962962962964,0.9051851851851852,0.2266666666666666,0.8052373158756136,0.5979013335276543
pythia-1b,4,medium,0.8340740740740741,0.014286890016285825,0.9422222222222222,547.0,0.9896296296296296,0.9348148148148148,0.4103703703703703,0.8922345483359747,0.5979013335276543
pythia-1b,4,very_high,0.8474074074074074,0.034522015400684565,0.9585185185185185,547.0,0.9911111111111112,0.9362962962962964,0.5111111111111111,0.9050632911392403,0.5979013335276543
pythia-1b,5,control,0.4518518518518519,0.12092918718306678,0.64,356.0,0.9896296296296296,0.9407407407407408,0.4518518518518519,0.4803149606299213,0.3891277417474313
pythia-1b,5,high,0.48740740740740734,0.14479160560439247,0.64,356.0,0.9896296296296296,0.9362962962962964,0.4874074074074073,0.5205696202531644,0.3891277417474313
pythia-1b,5,low,0.22666666666666666,0.1158116819626256,0.39999999999999997,356.0,0.9762962962962964,0.9051851851851852,0.2266666666666666,0.2504091653027823,0.3891277417474313
pythia-1b,5,medium,0.41037037037037033,0.1243120989380633,0.5733333333333334,356.0,0.9896296296296296,0.9348148148148148,0.4103703703703703,0.438985736925515,0.3891277417474313
