model,draw,band,layer,mean_kl,median_kl,std_kl
pythia-160m,draw_2,high,9,5.267202854156494,5.0304059982299805,2.8511717319488525
pythia-160m,draw_2,high,10,5.404019832611084,5.418431282043457,2.9055633544921875
pythia-160m,draw_2,high,11,0.0,0.0,0.0
pythia-160m,draw_2,very_high,0,16.995832443237305,17.067790985107422,2.8740265369415283
pythia-160m,draw_2,very_high,1,16.23482894897461,16.101409912109375,3.059401273727417
pythia-160m,draw_2,very_high,2,16.960498809814453,17.237529754638672,2.9059457778930664
pythia-160m,draw_2,very_high,3,17.117433547973633,17.223852157592773,2.9497764110565186
pythia-160m,draw_2,very_high,4,13.74754810333252,13.587007522583008,3.714047431945801
pythia-160m,draw_2,very_high,5,8.96512222290039,9.238730430603027,3.81156849861145
pythia-160m,draw_2,very_high,6,9.008700370788574,9.203245162963867,3.8379738330841064
pythia-160m,draw_2,very_high,7,8.087100982666016,8.356521606445312,3.579403877258301
pythia-160m,draw_2,very_high,8,6.190718650817871,6.553841590881348,3.1701104640960693
pythia-160m,draw_2,very_high,9,4.914435863494873,4.565936088562012,2.7538275718688965
pythia-160m,draw_2,very_high,10,4.959476470947266,4.4304704666137695,2.8171181678771973
pythia-160m,draw_2,very_high,11,0.0,0.0,0.0
pythia-160m,draw_2,control,0,16.623388290405273,16.5582332611084,2.9682388305664062
pythia-160m,draw_2,control,1,16.124521255493164,16.25324058532715,3.0101723670959473
pythia-160m,draw_2,control,2,16.66893196105957,16.674156188964844,2.907137632369995
pythia-160m,draw_2,control,3,16.874549865722656,16.96466064453125,2.8514530658721924
pythia-160m,draw_2,control,4,13.717665672302246,13.680770874023438,3.6922988891601562
pythia-160m,draw_2,control,5,9.139641761779785,9.260682106018066,3.4942710399627686
pythia-160m,draw_2,control,6,8.886272430419922,8.914937973022461,3.5602385997772217
pythia-160m,draw_2,control,7,8.08818531036377,8.063579559326172,3.21652889251709
pythia-160m,draw_2,control,8,6.340803146362305,6.270278453826904,2.946599245071411
pythia-160m,draw_2,control,9,5.049027442932129,4.925161838531494,2.6091504096984863
pythia-160m,draw_2,control,10,5.323683738708496,5.090545654296875,2.77376389503479
pythia-160m,draw_2,control,11,0.0,0.0,0.0
pythia-160m,draw_3,low,0,16.51544952392578,16.16861915588379,2.5759308338165283
pythia-160m,draw_3,low,1,16.1914005279541,15.876543045043945,2.6214394569396973
pythia-160m,draw_3,low,2,16.57908058166504,16.390275955200195,2.586151599884033
pythia-160m,draw_3,low,3,17.05187225341797,16.63958168029785,2.4703433513641357
pythia-160m,draw_3,low,4,15.443656921386719,15.110574722290039,3.0286569595336914
pythia-160m,draw_3,low,5,11.045928001403809,10.898788452148438,3.04716157913208
pythia-160m,draw_3,low,6,11.650489807128906,11.445367813110352,3.156066417694092
pythia-160m,draw_3,low,7,10.542007446289062,10.580997467041016,2.894164562225342
pythia-160m,draw_3,low,8,7.430749893188477,7.8173017501831055,2.7289178371429443
pythia-160m,draw_3,low,9,6.163921356201172,6.443758010864258,2.7070400714874268
pythia-160m,draw_3,low,10,6.043757915496826,6.201135635375977,2.9264678955078125
pythia-160m,draw_3,low,11,0.0,0.0,0.0
pythia-160m,draw_3,medium,0,16.84403419494629,16.866195678710938,2.8827133178710938
pythia-160m,draw_3,medium,1,16.637676239013672,16.56771469116211,2.8218748569488525
pythia-160m,draw_3,medium,2,16.8575439453125,16.873886108398438,2.6263339519500732
pythia-160m,draw_3,medium,3,17.225563049316406,17.053112030029297,2.511049270629883
pythia-160m,draw_3,medium,4,15.07461929321289,14.873141288757324,3.079780340194702
pythia-160m,draw_3,medium,5,10.455303192138672,10.703216552734375,3.5476737022399902
pythia-160m,draw_3,medium,6,11.111205101013184,10.999252319335938,3.4101030826568604
pythia-160m,draw_3,medium,7,10.259275436401367,10.02493667602539,3.3371641635894775
pythia-160m,draw_3,medium,8,7.248815059661865,7.505191326141357,2.858018636703491
pythia-160m,draw_3,medium,9,5.770245552062988,6.076772689819336,2.8026838302612305
pythia-160m,draw_3,medium,10,5.93356990814209,5.784609794616699,2.9551613330841064
pythia-160m,draw_3,medium,11,0.0,0.0,0.0
pythia-160m,draw_3,high,0,16.9868221282959,17.01654815673828,2.886671781539917
pythia-160m,draw_3,high,1,16.36508560180664,16.432050704956055,2.9678854942321777
pythia-160m,draw_3,high,2,16.908634185791016,17.041385650634766,2.8332953453063965
pythia-160m,draw_3,high,3,17.350385665893555,17.606529235839844,2.9322333335876465
pythia-160m,draw_3,high,4,14.794853210449219,14.738845825195312,3.467617988586426
pythia-160m,draw_3,high,5,9.916519165039062,10.165807723999023,3.338435649871826
pythia-160m,draw_3,high,6,10.058760643005371,10.049949645996094,3.4920833110809326
pythia-160m,draw_3,high,7,9.363323211669922,9.652440071105957,3.091953992843628
pythia-160m,draw_3,high,8,6.639196872711182,6.693553924560547,2.9818060398101807
pythia-160m,draw_3,high,9,5.2488579750061035,5.00875186920166,2.882439613342285
pythia-160m,draw_3,high,10,5.479511260986328,5.398903846740723,3.0604710578918457
pythia-160m,draw_3,high,11,0.0,0.0,0.0
pythia-160m,draw_3,very_high,0,16.831409454345703,16.7595157623291,3.1089026927948
pythia-160m,draw_3,very_high,1,16.067102432250977,15.923677444458008,3.1419777870178223
pythia-160m,draw_3,very_high,2,16.618160247802734,16.60906410217285,3.258556365966797
pythia-160m,draw_3,very_high,3,16.961383819580078,17.118810653686523,3.251225233078003
pythia-160m,draw_3,very_high,4,13.945606231689453,13.922992706298828,3.75972580909729
pythia-160m,draw_3,very_high,5,9.052522659301758,9.269283294677734,3.780350685119629
pythia-160m,draw_3,very_high,6,8.871899604797363,9.351685523986816,3.746077299118042
pythia-160m,draw_3,very_high,7,8.01688289642334,8.19934368133545,3.3101508617401123
pythia-160m,draw_3,very_high,8,6.229504108428955,6.184123516082764,3.240000009536743
pythia-160m,draw_3,very_high,9,5.141185283660889,4.876180648803711,2.789235830307007
pythia-160m,draw_3,very_high,10,5.137049674987793,4.780879974365234,2.856269359588623
pythia-160m,draw_3,very_high,11,0.0,0.0,0.0
pythia-160m,draw_3,control,0,16.673429489135742,16.654523849487305,3.070707321166992
pythia-160m,draw_3,control,1,16.05725860595703,16.037189483642578,3.108271598815918
pythia-160m,draw_3,control,2,16.62305450439453,16.812761306762695,3.0044994354248047
pythia-160m,draw_3,control,3,16.844806671142578,16.946434020996094,2.939289093017578
pythia-160m,draw_3,control,4,13.820525169372559,13.98976993560791,3.872530937194824
pythia-160m,draw_3,control,5,9.093354225158691,9.182876586914062,3.363403081893921
pythia-160m,draw_3,control,6,9.036396026611328,9.432003021240234,3.527724266052246
pythia-160m,draw_3,control,7,8.055427551269531,8.224868774414062,3.305532693862915
pythia-160m,draw_3,control,8,6.298863887786865,6.494571208953857,2.9348552227020264
pythia-160m,draw_3,control,9,5.180530071258545,4.585485458374023,2.7947285175323486
pythia-160m,draw_3,control,10,5.416750431060791,5.109908103942871,2.9005751609802246
pythia-160m,draw_3,control,11,0.0,0.0,0.0
pythia-410m,draw_1,low,0,11.054765701293945,10.654196739196777,2.906078815460205
pythia-410m,draw_1,low,1,10.723871231079102,10.312235832214355,2.851884126663208
pythia-410m,draw_1,low,2,10.616525650024414,10.140237808227539,2.823429822921753
pythia-410m,draw_1,low,3,10.538002014160156,10.081814765930176,2.888354539871216
pythia-410m,draw_1,low,4,10.584980010986328,10.116929054260254,2.897047996520996
pythia-410m,draw_1,low,5,11.054933547973633,10.641434669494629,3.0009958744049072
pythia-410m,draw_1,low,6,10.768803596496582,10.395272254943848,2.9271082878112793
pythia-410m,draw_1,low,7,10.526464462280273,10.400436401367188,2.8988823890686035
pythia-410m,draw_1,low,8,10.198416709899902,10.022821426391602,2.6733241081237793
pythia-410m,draw_1,low,9,9.96677303314209,9.659581184387207,2.703528642654419
pythia-410m,draw_1,low,10,8.243767738342285,7.992696762084961,2.2800464630126953
