model,band,metric,mean,std,cv
pythia-1b,very_high,convergence_layer,10.997037037037037,0.08223223162298067,0.007477671607909464
pythia-1b,very_high,frac_convergence,0.6873148148148148,0.005139514476436292,0.007477671607909464
pythia-1b,very_high,final_prob_correct,0.5928894877433777,0.020672190248288782,0.034866852382507404
pythia-1b,very_high,mean_attn_frac,0.5988404915852218,0.004231957533948238,0.007066919477581757
pythia-1b,control,convergence_layer,11.157037037037037,0.04270677127525845,0.0038277878914884417
pythia-1b,control,frac_convergence,0.6973148148148148,0.0026691732047036533,0.0038277878914884417
pythia-1b,control,final_prob_correct,0.624106744925181,0.013109617125098215,0.021005408500543953
pythia-1b,control,mean_attn_frac,0.5984540143794502,0.0026175706738310795,0.0043738877356270965
pythia-1.4b,low,convergence_layer,21.565925925925928,0.18647256222003736,0.008646629078692396
pythia-1.4b,low,frac_convergence,0.8985802469135802,0.007769690092501536,0.008646629078692375
pythia-1.4b,low,final_prob_correct,0.558697501818339,0.023010122597523896,0.041185297093033466
pythia-1.4b,low,mean_attn_frac,0.5440062303514313,0.0033229339283904215,0.006108264470139959
pythia-1.4b,medium,convergence_layer,19.371851851851854,0.21874313628267839,0.011291803073631684
pythia-1.4b,medium,frac_convergence,0.8071604938271605,0.009114297345111613,0.011291803073631703
pythia-1.4b,medium,final_prob_correct,0.5552672346433004,0.01835692683470789,0.0330596255089682
pythia-1.4b,medium,mean_attn_frac,0.556427149887988,0.0005167323372215123,0.0009286612583974982
pythia-1.4b,high,convergence_layer,16.792592592592595,0.3300978779899947,0.01965735047580471
pythia-1.4b,high,frac_convergence,0.6996913580246914,0.013754078249583091,0.01965735047580468
pythia-1.4b,high,final_prob_correct,0.5494121710459391,0.014768011149521228,0.02687965780118548
pythia-1.4b,high,mean_attn_frac,0.5690645340659796,0.002902639971415909,0.005100721970277215
pythia-1.4b,very_high,convergence_layer,14.613333333333335,0.12911856930074592,0.008835668519667831
pythia-1.4b,very_high,frac_convergence,0.6088888888888889,0.005379940387531081,0.008835668519667833
pythia-1.4b,very_high,final_prob_correct,0.5513152480125427,0.01417779735613161,0.025716316403802886
pythia-1.4b,very_high,mean_attn_frac,0.5626742167486597,0.0031396139433234726,0.005579807728645052
pythia-1.4b,control,convergence_layer,15.154074074074074,0.1826733350139062,0.0120544042559768
pythia-1.4b,control,frac_convergence,0.6314197530864197,0.007611388958912755,0.012054404255976795
pythia-1.4b,control,final_prob_correct,0.5481442213058472,0.009235370442000774,0.016848431640854113
pythia-1.4b,control,mean_attn_frac,0.5641818848582446,0.003612019430049386,0.006402225110359465
