model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-160m,draw_1,very_high,6,696.7066666666667,46.0,0.11555555555555555,0.24
pythia-160m,draw_1,very_high,7,380.5022222222222,34.0,0.10666666666666667,0.28
pythia-160m,draw_1,very_high,8,79.98222222222222,3.0,0.3466666666666667,0.5644444444444444
pythia-160m,draw_1,very_high,9,4.453333333333333,0.0,0.6666666666666666,0.88
pythia-160m,draw_1,very_high,10,0.9733333333333334,0.0,0.8711111111111111,0.9688888888888889
pythia-160m,draw_1,very_high,11,0.044444444444444446,0.0,0.9733333333333334,1.0
pythia-160m,draw_1,control,0,11926.52,9930.0,0.0,0.008888888888888889
pythia-160m,draw_1,control,1,10419.00888888889,8400.0,0.0,0.0
pythia-160m,draw_1,control,2,9741.595555555556,7610.0,0.0,0.0
pythia-160m,draw_1,control,3,10682.106666666667,8118.0,0.0,0.0
pythia-160m,draw_1,control,4,3230.4622222222224,1278.0,0.0044444444444444444,0.03111111111111111
pythia-160m,draw_1,control,5,563.8088888888889,79.0,0.06222222222222222,0.1688888888888889
pythia-160m,draw_1,control,6,723.4355555555555,95.0,0.057777777777777775,0.19555555555555557
pythia-160m,draw_1,control,7,556.1911111111111,85.0,0.09333333333333334,0.20444444444444446
pythia-160m,draw_1,control,8,62.217777777777776,3.0,0.3244444444444444,0.52
pythia-160m,draw_1,control,9,9.12888888888889,0.0,0.6888888888888889,0.8755555555555555
pythia-160m,draw_1,control,10,1.7466666666666666,0.0,0.8488888888888889,0.9333333333333333
pythia-160m,draw_1,control,11,0.013333333333333334,0.0,0.9866666666666667,1.0
pythia-160m,draw_2,low,0,14572.555555555555,13109.0,0.0,0.0
pythia-160m,draw_2,low,1,13971.875555555556,12269.0,0.0,0.0
pythia-160m,draw_2,low,2,13530.306666666667,11330.0,0.0,0.0
pythia-160m,draw_2,low,3,16034.07111111111,14729.0,0.0,0.0
pythia-160m,draw_2,low,4,6345.804444444444,3944.0,0.0044444444444444444,0.0044444444444444444
pythia-160m,draw_2,low,5,1313.12,283.0,0.022222222222222223,0.035555555555555556
pythia-160m,draw_2,low,6,1729.68,623.0,0.013333333333333334,0.03111111111111111
pythia-160m,draw_2,low,7,1483.7288888888888,579.0,0.017777777777777778,0.044444444444444446
