model,kind,run_a,run_b,cos_positional_global,cos_actual_aggregated,cos_marginal_mass,cos_pos_17,cos_pos_18,cos_pos_19,cos_pos_20,cos_pos_21,n_shared_acdc_edges,shared_profile_cos_unweighted,shared_profile_cos_weighted,shared_profile_tv_unweighted,shared_profile_tv_weighted
pythia-1b,within,high/draw_1,high/draw_3,0.9965448379516602,0.9984741806983948,0.9986557364463806,0.9959713816642761,0.9951732158660889,0.994892418384552,0.9967862963676453,0.9967647194862366,595,0.9787207841873169,0.994970440864563,0.07078990340232849,0.03224558383226395
pythia-1b,between,high/draw_1,very_high/draw_1,0.9629786610603333,0.9817674160003662,0.9820371270179749,0.9861782193183899,0.9809539914131165,0.9833897352218628,0.9915289878845215,0.9579278826713562,561,0.9614019393920898,0.9908744096755981,0.1003306433558464,0.04826277866959572
pythia-1b,other,high/draw_1,very_high/draw_2,0.9654422998428345,0.982300341129303,0.9821779727935791,0.9820004105567932,0.9724228382110596,0.9774374961853027,0.9902188181877136,0.9620075225830078,588,0.9611420035362244,0.99066162109375,0.10202935338020325,0.05002310872077942
pythia-1b,other,high/draw_1,very_high/draw_3,0.9470633864402771,0.9746700525283813,0.9753296375274658,0.9855899810791016,0.9766266942024231,0.981288731098175,0.9905099272727966,0.9388200044631958,563,0.9599770903587341,0.989360511302948,0.10094695538282394,0.05179637670516968
pythia-1b,between,high/draw_1,control/draw_1,0.9744420051574707,0.9869796633720398,0.9872215986251831,0.9824802279472351,0.9902156591415405,0.9907769560813904,0.9899160265922546,0.9711725115776062,604,0.9673188924789429,0.9921663999557495,0.092007577419281,0.04251156002283096
pythia-1b,other,high/draw_1,control/draw_2,0.9771744012832642,0.9878090023994446,0.9881928563117981,0.9813496470451355,0.9889543652534485,0.9913251399993896,0.9900986552238464,0.9745761156082153,579,0.9720834493637085,0.9931395649909973,0.08317181468009949,0.03888821601867676
pythia-1b,other,high/draw_1,control/draw_3,0.9719401597976685,0.9861860275268555,0.9865768551826477,0.984335720539093,0.985397219657898,0.9873232245445251,0.991108775138855,0.9685489535331726,603,0.9641408920288086,0.9911867380142212,0.095326729118824,0.04585599899291992
pythia-1b,within,high/draw_2,high/draw_3,0.9943031668663025,0.9974995851516724,0.997604250907898,0.995353102684021,0.9962524175643921,0.9957848191261292,0.9968369007110596,0.9940711259841919,583,0.9758268594741821,0.9948478937149048,0.07858356833457947,0.03614011034369469
pythia-1b,other,high/draw_2,very_high/draw_1,0.9646390676498413,0.9822438359260559,0.9823988080024719,0.9850237965583801,0.984479546546936,0.9841458797454834,0.9907212853431702,0.9597833156585693,536,0.9705590605735779,0.9920715689659119,0.09016041457653046,0.04514806717634201
pythia-1b,between,high/draw_2,very_high/draw_2,0.969473659992218,0.9836000204086304,0.9833891987800598,0.9814774394035339,0.9766284227371216,0.9789882898330688,0.989165723323822,0.9665051102638245,597,0.9622765779495239,0.9912177920341492,0.09895096719264984,0.04750920087099075
pythia-1b,other,high/draw_2,very_high/draw_3,0.9527143836021423,0.9768776297569275,0.9773434400558472,0.9850150346755981,0.9828848242759705,0.9806061387062073,0.991476833820343,0.9451488256454468,536,0.9628667235374451,0.9908503890037537,0.09800536185503006,0.04654432088136673
pythia-1b,other,high/draw_2,control/draw_1,0.976428747177124,0.988107442855835,0.9884652495384216,0.98183673620224,0.9927476644515991,0.9922167658805847,0.9932170510292053,0.9729791879653931,621,0.9682654738426208,0.9922769069671631,0.08823373913764954,0.04174632579088211
pythia-1b,between,high/draw_2,control/draw_2,0.9781181812286377,0.9884840846061707,0.9889464974403381,0.9815856218338013,0.9907898306846619,0.9918737411499023,0.9915693402290344,0.9755064845085144,552,0.9747887253761292,0.9927306771278381,0.08155639469623566,0.040792305022478104
pythia-1b,other,high/draw_2,control/draw_3,0.9747304916381836,0.9877060651779175,0.9880458116531372,0.9840726852416992,0.9893770813941956,0.9897812008857727,0.9941703081130981,0.971139669418335,588,0.9654368758201599,0.9916068315505981,0.09223943203687668,0.04405533894896507
pythia-1b,other,high/draw_3,very_high/draw_1,0.9661857485771179,0.9828855395317078,0.9831353425979614,0.9843984842300415,0.987004280090332,0.9890531897544861,0.9909155368804932,0.9615326523780823,555,0.9666772484779358,0.9922322630882263,0.09466080367565155,0.045799002051353455
pythia-1b,other,high/draw_3,very_high/draw_2,0.9681105017662048,0.9831757545471191,0.9831002354621887,0.9798677563667297,0.9794051051139832,0.9854632019996643,0.9897371530532837,0.9650779366493225,630,0.9631288647651672,0.9910982251167297,0.10320831835269928,0.050224654376506805
pythia-1b,between,high/draw_3,very_high/draw_3,0.9515631198883057,0.9762681722640991,0.9768679141998291,0.983238935470581,0.9836390018463135,0.9869950413703918,0.9906556606292725,0.9441516995429993,540,0.9641013741493225,0.9912495017051697,0.09681057184934616,0.04901466891169548
pythia-1b,other,high/draw_3,control/draw_1,0.9779052734375,0.9883537888526917,0.9885233044624329,0.9848688840866089,0.9919413924217224,0.9926345348358154,0.99162757396698,0.9751677513122559,584,0.9715378880500793,0.9934282302856445,0.08905356377363205,0.0405842661857605
pythia-1b,other,high/draw_3,control/draw_2,0.9797244071960449,0.9886190891265869,0.9890029430389404,0.9834678769111633,0.9913445115089417,0.9928466081619263,0.9901586174964905,0.9774830341339111,556,0.971954345703125,0.9931939244270325,0.08576243370771408,0.03820279613137245
pythia-1b,between,high/draw_3,control/draw_3,0.9758475422859192,0.9875937104225159,0.9880515933036804,0.9865715503692627,0.988411009311676,0.9886529445648193,0.9920595288276672,0.9731918573379517,627,0.9663952589035034,0.991870641708374,0.0938759371638298,0.04670380800962448
pythia-1b,within,very_high/draw_1,very_high/draw_2,0.9931549429893494,0.9973366260528564,0.99747633934021,0.9958866238594055,0.9960797429084778,0.9941469430923462,0.9970967769622803,0.993195652961731,566,0.9724522233009338,0.9938859343528748,0.07929956912994385,0.035959817469120026
pythia-1b,within,very_high/draw_1,very_high/draw_3,0.9925108551979065,0.9969357252120972,0.9970934391021729,0.9967787265777588,0.9964611530303955,0.9951705932617188,0.9962550401687622,0.9919222593307495,539,0.9726197719573975,0.9939539432525635,0.07707994431257248,0.034426264464855194
pythia-1b,between,very_high/draw_1,control/draw_1,0.9850559234619141,0.9878174662590027,0.9878818392753601,0.9705817699432373,0.9885329008102417,0.9852381944656372,0.9880972504615784,0.9850255250930786,557,0.9714893698692322,0.9941118955612183,0.08187679946422577,0.036186810582876205
pythia-1b,other,very_high/draw_1,control/draw_2,0.9821970462799072,0.9855812191963196,0.9857792854309082,0.9711036086082458,0.9848626852035522,0.9866834878921509,0.9851654767990112,0.9820208549499512,532,0.9719173908233643,0.9935088157653809,0.08329518884420395,0.03773631900548935
pythia-1b,other,very_high/draw_1,control/draw_3,0.9830436110496521,0.9872641563415527,0.9875692129135132,0.975611686706543,0.9896221160888672,0.9785492420196533,0.9900841116905212,0.9828556776046753,555,0.9678592085838318,0.992963433265686,0.08749847114086151,0.039473772048950195
pythia-1b,within,very_high/draw_2,very_high/draw_3,0.992324948310852,0.9969789385795593,0.9971577525138855,0.9961614608764648,0.9957497715950012,0.9955743551254272,0.996142566204071,0.9916560649871826,562,0.9701692461967468,0.9935139417648315,0.08022960275411606,0.03688452020287514
pythia-1b,other,very_high/draw_2,control/draw_1,0.9848266839981079,0.9869411587715149,0.986763060092926,0.9643585681915283,0.9797715544700623,0.9829896688461304,0.9867050647735596,0.985802173614502,594,0.966404378414154,0.9931691288948059,0.08888962864875793,0.040030933916568756
pythia-1b,between,very_high/draw_2,control/draw_2,0.9821242690086365,0.9847978353500366,0.9847391843795776,0.9653636813163757,0.9751943349838257,0.9840463995933533,0.9835636019706726,0.9833710193634033,553,0.9727905988693237,0.9933416247367859,0.082056924700737,0.037181317806243896
pythia-1b,other,very_high/draw_2,control/draw_3,0.9852728843688965,0.9875598549842834,0.9875797629356384,0.9707937836647034,0.9814913272857666,0.9775426387786865,0.9878364205360413,0.9863231182098389,626,0.9589563012123108,0.9918608665466309,0.09745834022760391,0.04110982269048691
pythia-1b,other,very_high/draw_3,control/draw_1,0.9779809713363647,0.9841880202293396,0.984565258026123,0.9679059386253357,0.9843824505805969,0.985252857208252,0.989342987537384,0.97646164894104,556,0.9653367400169373,0.992723822593689,0.08801671862602234,0.0408741757273674
pythia-1b,other,very_high/draw_3,control/draw_2,0.9726307392120361,0.9807993769645691,0.9813212156295776,0.9682647585868835,0.9792923331260681,0.9862365126609802,0.9860527515411377,0.9707773923873901,568,0.9671065807342529,0.9916592836380005,0.0858798548579216,0.04254034161567688
