model,band,draw,threshold,n_edges,total_edges,size_fraction,base_accuracy,base_top5_accuracy,base_top10_accuracy,base_mean_correct_prob,circuit_accuracy,circuit_top5_accuracy,circuit_top10_accuracy,circuit_mean_correct_prob,circuit_kl_div,ablation_accuracy,ablation_top5_accuracy,ablation_top10_accuracy,ablation_mean_correct_prob,ablation_kl_div,retention_ratio,completeness,top1_top5_gap,frequency_rank,necessity_pass,training_time_seconds
pythia-160m,control,draw_3,0.000631,1345,11467,0.1172931019447109,0.9733333333333334,0.9955555555555555,1.0,0.5098680631423163,0.9466666666666667,0.9866666666666667,0.9911111111111112,0.48977300831530657,0.2788732349872589,0.0,0.0,0.0044444444444444444,0.0004342150931329848,4.7695465087890625,0.9726027397260273,1.0,0.040000000000000036,,True,1969.3014342784882
pythia-410m,low,draw_1,0.000251,3957,80581,0.0491058686290813,0.9777777777777777,1.0,1.0,0.5996535450716813,0.9377777777777778,0.9911111111111112,0.9955555555555555,0.4721582602838882,0.3796885013580322,0.0,0.0,0.0,8.551032830319451e-05,6.4193525314331055,0.9590909090909092,1.0,0.053333333333333344,1.0,True,34467.88498735428
pythia-410m,low,draw_2,0.000251,3848,80581,0.04775319243990519,0.9822222222222222,1.0,1.0,0.6482912620405356,0.9422222222222222,0.9822222222222222,0.9911111111111112,0.4742647956073698,0.45597875118255615,0.0,0.0,0.0,8.195311981984963e-05,6.83311128616333,0.9592760180995474,1.0,0.040000000000000036,1.0,True,34483.47492027283
pythia-410m,low,draw_3,0.000251,4122,80581,0.05115349772278825,0.9866666666666667,1.0,1.0,0.6203534630189339,0.96,0.9955555555555555,0.9955555555555555,0.5591009835505651,0.3227486312389374,0.0,0.0,0.0,0.00010013231133453045,6.5761895179748535,0.9729729729729729,1.0,0.03555555555555556,1.0,True,33313.730125665665
pythia-410m,medium,draw_1,0.000251,3809,80581,0.04726920738139263,0.9911111111111112,1.0,1.0,0.5878088428742356,0.9777777777777777,1.0,1.0,0.5176801496909724,0.2956857681274414,0.0,0.0,0.0,0.00016625517621498097,5.722465991973877,0.9865470852017937,1.0,0.022222222222222254,2.0,True,34371.17694401741
pythia-410m,medium,draw_2,0.000251,3709,80581,0.04602822005187327,0.9777777777777777,0.9955555555555555,0.9955555555555555,0.5542496593420704,0.9822222222222222,0.9955555555555555,0.9955555555555555,0.4671750341014316,0.32284730672836304,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.00031273600311326137,5.444262981414795,1.0045454545454546,0.9955555555555555,0.013333333333333308,2.0,True,34459.6124663353
pythia-410m,medium,draw_3,0.000251,3920,80581,0.04864670331715913,0.9911111111111112,1.0,1.0,0.5758409050934844,0.9644444444444444,0.9955555555555555,0.9955555555555555,0.4764425334479246,0.29268622398376465,0.0,0.0,0.0,0.00017480806749770435,5.539407253265381,0.9730941704035874,1.0,0.03111111111111109,2.0,True,33318.52868771553
pythia-410m,high,draw_1,0.000251,3480,80581,0.04318635906727392,0.9911111111111112,1.0,1.0,0.5613615916338232,0.9688888888888889,0.9955555555555555,0.9955555555555555,0.5084006221380292,0.31803828477859497,0.0,0.008888888888888889,0.008888888888888889,0.0005456919484800851,4.728821754455566,0.9775784753363228,1.0,0.026666666666666616,3.0,True,34462.69925403595
pythia-410m,high,draw_2,0.000251,3483,80581,0.0432235886871595,0.9911111111111112,0.9955555555555555,0.9955555555555555,0.5678719812124554,0.9555555555555556,0.9866666666666667,0.9955555555555555,0.48652564466077214,0.22802148759365082,0.0,0.0,0.0044444444444444444,0.00049093433921573,4.628474712371826,0.9641255605381166,1.0,0.03111111111111109,3.0,True,34430.55851864815
pythia-410m,high,draw_3,0.000251,3379,80581,0.04193296186445936,0.9955555555555555,1.0,1.0,0.5632475663390425,0.9777777777777777,0.9955555555555555,1.0,0.46394302123950587,0.27852538228034973,0.0,0.0,0.0,0.00048092331460793504,4.6590776443481445,0.9821428571428571,1.0,0.01777777777777778,3.0,True,33322.623552560806
pythia-410m,very_high,draw_1,0.000251,3131,80581,0.038855313287251336,0.9822222222222222,1.0,1.0,0.534307011100981,0.9555555555555556,0.9866666666666667,0.9955555555555555,0.4272918336672915,0.320374459028244,0.0,0.013333333333333334,0.02666666666666667,0.001389421590631375,3.8193445205688477,0.9728506787330318,1.0,0.03111111111111109,4.0,True,34434.32170629501
pythia-410m,very_high,draw_2,0.000251,3476,80581,0.04313671957409315,0.9955555555555555,1.0,1.0,0.5137960833973355,0.9555555555555556,0.9866666666666667,1.0,0.43864552484411334,0.31945592164993286,0.0,0.022222222222222223,0.035555555555555556,0.0014798043510018033,3.577214002609253,0.9598214285714286,1.0,0.03111111111111109,4.0,True,18220.676887750626
pythia-410m,very_high,draw_3,0.000251,3280,80581,0.04070438440823519,0.9955555555555555,1.0,1.0,0.5304606971641381,0.9777777777777777,0.9911111111111112,0.9911111111111112,0.41891250318123235,0.31623929738998413,0.0,0.013333333333333334,0.022222222222222223,0.00125907529564251,3.7358431816101074,0.9821428571428571,1.0,0.01333333333333342,4.0,True,33351.705575466156
pythia-410m,control,draw_1,0.000251,3425,80581,0.04250381603603827,0.9911111111111112,1.0,1.0,0.509243270204299,0.9644444444444444,0.9955555555555555,1.0,0.40945577109232545,0.3211907148361206,0.0,0.0,0.017777777777777778,0.0007585644610202912,4.0629706382751465,0.9730941704035874,1.0,0.03111111111111109,,True,34400.60248756409
