model,train_band,draw,test_band,same_band,n_examples,accuracy,mean_correct_prob,std_correct_prob,median_correct_prob
pythia-410m,high,draw_2,low,False,225,0.9244444444444444,0.3729047331043209,0.27637307898283286,0.31756314635276794
pythia-410m,high,draw_2,medium,False,225,0.9733333333333334,0.45081387213017377,0.2637660535260171,0.4492373764514923
pythia-410m,high,draw_2,high,True,225,0.9555555555555556,0.4865304048403373,0.25341472759361733,0.48959648609161377
pythia-410m,high,draw_2,very_high,False,225,0.9644444444444444,0.4658141471300688,0.2669546776628109,0.4651864767074585
pythia-410m,high,draw_2,control,False,225,0.96,0.4978279270687037,0.2597337714900219,0.4853054881095886
pythia-410m,high,draw_3,low,False,225,0.9111111111111111,0.3652947993255738,0.27144516719930945,0.3266487717628479
pythia-410m,high,draw_3,medium,False,225,0.9555555555555556,0.40959932770269614,0.2840140392320863,0.3582860231399536
pythia-410m,high,draw_3,high,True,225,0.9777777777777777,0.4639421999371714,0.2616400070674013,0.4451107978820801
pythia-410m,high,draw_3,very_high,False,225,0.9466666666666667,0.4185264731881519,0.25840725997571595,0.4004456698894501
pythia-410m,high,draw_3,control,False,225,0.9333333333333333,0.45595660387124454,0.2633152546322243,0.4503130614757538
pythia-410m,very_high,draw_1,low,False,225,0.8622222222222222,0.19574128491428888,0.20804008195891333,0.1262703239917755
pythia-410m,very_high,draw_1,medium,False,225,0.9688888888888889,0.3136602453307973,0.22647127862752794,0.2582765817642212
pythia-410m,very_high,draw_1,high,False,225,0.96,0.41840769853598125,0.25272866225928214,0.4075362980365753
pythia-410m,very_high,draw_1,very_high,True,225,0.9555555555555556,0.42729595623910427,0.2710755391149344,0.4064748287200928
pythia-410m,very_high,draw_1,control,False,225,0.9466666666666667,0.38861418176131945,0.24912365754139779,0.3627137839794159
pythia-410m,very_high,draw_2,low,False,225,0.8933333333333333,0.20945958867539755,0.2200618060206327,0.12787556648254395
pythia-410m,very_high,draw_2,medium,False,225,0.9333333333333333,0.297941079396858,0.23280951544729203,0.26168134808540344
