node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
A2.3,attn,2,4,8,12,pythia-70m,medium,draw_1
A2.4,attn,2,7,12,19,pythia-70m,medium,draw_1
A2.5,attn,2,3,5,8,pythia-70m,medium,draw_1
A2.6,attn,2,8,14,22,pythia-70m,medium,draw_1
A1.2,attn,1,3,11,14,pythia-70m,medium,draw_1
A2.7,attn,2,8,11,19,pythia-70m,medium,draw_1
A1.3,attn,1,5,10,15,pythia-70m,medium,draw_1
A5.0,attn,5,6,1,7,pythia-70m,medium,draw_1
M2,mlp,2,14,18,32,pythia-70m,medium,draw_1
M3,mlp,3,24,12,36,pythia-70m,medium,draw_1
M4,mlp,4,34,6,40,pythia-70m,medium,draw_1
A5.1,attn,5,2,1,3,pythia-70m,medium,draw_1
A5.2,attn,5,4,1,5,pythia-70m,medium,draw_1
A5.3,attn,5,4,1,5,pythia-70m,medium,draw_1
A3.6,attn,3,12,8,20,pythia-70m,medium,draw_1
A5.5,attn,5,1,1,2,pythia-70m,medium,draw_1
A5.7,attn,5,11,1,12,pythia-70m,medium,draw_1
A3.1,attn,3,22,9,31,pythia-70m,medium,draw_1
A3.3,attn,3,22,4,26,pythia-70m,medium,draw_1
A3.4,attn,3,13,7,20,pythia-70m,medium,draw_1
A4.7,attn,4,13,3,16,pythia-70m,medium,draw_1
M5,mlp,5,40,1,41,pythia-70m,medium,draw_1
A1.0,attn,1,1,5,6,pythia-70m,medium,draw_1
A1.5,attn,1,0,5,5,pythia-70m,medium,draw_1
A1.6,attn,1,2,7,9,pythia-70m,medium,draw_1
A3.0,attn,3,8,4,12,pythia-70m,medium,draw_1
A3.2,attn,3,2,3,5,pythia-70m,medium,draw_1
A3.5,attn,3,14,4,18,pythia-70m,medium,draw_1
A3.7,attn,3,0,3,3,pythia-70m,medium,draw_1
A4.2,attn,4,6,2,8,pythia-70m,medium,draw_1
A4.4,attn,4,9,2,11,pythia-70m,medium,draw_1
A4.5,attn,4,2,2,4,pythia-70m,medium,draw_1
A4.6,attn,4,8,2,10,pythia-70m,medium,draw_1
A1.7,attn,1,0,3,3,pythia-70m,medium,draw_1
R5,resid,5,50,0,50,pythia-70m,medium,draw_1
