model,band,draw,layer,head,js_divergence
pythia-70m,high,draw_1,1,5,0.0
pythia-70m,high,draw_1,1,6,0.0
pythia-70m,high,draw_1,1,7,0.0
pythia-70m,high,draw_1,2,0,0.00498553350454736
pythia-70m,high,draw_1,2,1,0.0009612961420639221
pythia-70m,high,draw_1,2,2,0.002384129332827621
pythia-70m,high,draw_1,2,3,0.001768427988302914
pythia-70m,high,draw_1,2,4,0.003201874279444336
pythia-70m,high,draw_1,2,5,0.005394524165286275
pythia-70m,high,draw_1,2,6,0.006385991220202203
pythia-70m,high,draw_1,2,7,0.004405589726735374
pythia-70m,high,draw_1,3,0,0.008467951739009763
pythia-70m,high,draw_1,3,1,0.004374747646879071
pythia-70m,high,draw_1,3,2,0.002380172403308367
pythia-70m,high,draw_1,3,3,0.007972922619087408
pythia-70m,high,draw_1,3,4,0.0015769962936884269
pythia-70m,high,draw_1,3,5,0.01310585200492686
pythia-70m,high,draw_1,3,6,0.007760408828385233
pythia-70m,high,draw_1,3,7,0.002170805758262433
pythia-70m,high,draw_1,4,0,0.02018072562204862
pythia-70m,high,draw_1,4,1,0.008276372321585804
pythia-70m,high,draw_1,4,2,0.026178120332326197
pythia-70m,high,draw_1,4,3,0.020648631768642404
pythia-70m,high,draw_1,4,4,0.014555921062822679
pythia-70m,high,draw_1,4,5,0.01939168852676945
pythia-70m,high,draw_1,4,6,0.024129942861524974
pythia-70m,high,draw_1,4,7,0.016165939897067435
pythia-70m,high,draw_1,5,0,0.014121149862344144
pythia-70m,high,draw_1,5,1,0.015968652640706585
pythia-70m,high,draw_1,5,2,0.017631892254638314
pythia-70m,high,draw_1,5,3,0.030985930939493297
pythia-70m,high,draw_1,5,4,0.0190680831885564
pythia-70m,high,draw_1,5,5,0.014319541268813726
pythia-70m,high,draw_1,5,6,0.045525307423641886
pythia-70m,high,draw_1,5,7,0.011681746633048983
pythia-70m,high,draw_2,0,0,0.0
pythia-70m,high,draw_2,0,1,0.0
pythia-70m,high,draw_2,0,2,0.0
pythia-70m,high,draw_2,0,3,0.0
pythia-70m,high,draw_2,0,4,0.0
pythia-70m,high,draw_2,0,5,0.0
pythia-70m,high,draw_2,0,6,0.0
pythia-70m,high,draw_2,0,7,0.0
pythia-70m,high,draw_2,1,0,0.0
pythia-70m,high,draw_2,1,1,0.0
pythia-70m,high,draw_2,1,2,0.0
pythia-70m,high,draw_2,1,3,0.0
pythia-70m,high,draw_2,1,4,0.0
pythia-70m,high,draw_2,1,5,0.0
pythia-70m,high,draw_2,1,6,0.0
pythia-70m,high,draw_2,1,7,0.0
pythia-70m,high,draw_2,2,0,0.0
pythia-70m,high,draw_2,2,1,0.0
pythia-70m,high,draw_2,2,2,0.0
pythia-70m,high,draw_2,2,3,0.0
pythia-70m,high,draw_2,2,4,0.0
pythia-70m,high,draw_2,2,5,0.0
pythia-70m,high,draw_2,2,6,0.0
pythia-70m,high,draw_2,2,7,0.0
pythia-70m,high,draw_2,3,0,0.0
pythia-70m,high,draw_2,3,1,0.0
pythia-70m,high,draw_2,3,2,0.0
pythia-70m,high,draw_2,3,3,0.0
pythia-70m,high,draw_2,3,4,0.0
pythia-70m,high,draw_2,3,5,0.0
pythia-70m,high,draw_2,3,6,0.0
pythia-70m,high,draw_2,3,7,0.0
pythia-70m,high,draw_2,4,0,0.0
pythia-70m,high,draw_2,4,1,0.0
pythia-70m,high,draw_2,4,2,0.0
pythia-70m,high,draw_2,4,3,0.0
pythia-70m,high,draw_2,4,4,0.0
pythia-70m,high,draw_2,4,5,0.0
pythia-70m,high,draw_2,4,6,0.0
