model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_1,high,3,6,0.4589669108390808,0.4479912519454956,-0.010975658893585205
pythia-70m,draw_1,high,3,7,3.368847370147705,3.3666770458221436,-0.0021703243255615234
pythia-70m,draw_1,high,4,0,2.27550745010376,2.3364832401275635,0.06097579002380327
pythia-70m,draw_1,high,4,1,0.4860095977783203,0.49560391902923584,0.009594321250915527
pythia-70m,draw_1,high,4,2,0.98598712682724,1.0038864612579346,0.01789933443069458
pythia-70m,draw_1,high,4,3,0.0883235186338424,0.09186572581529617,0.0035422071814537742
pythia-70m,draw_1,high,4,4,0.8077570796012878,0.8377871513366699,0.03003007173538208
pythia-70m,draw_1,high,4,5,1.219761848449707,1.2485578060150146,0.028795957565307617
pythia-70m,draw_1,high,4,6,0.7713119387626648,0.8018447756767273,0.0305328369140625
pythia-70m,draw_1,high,4,7,1.0021549463272097,0.9954152703285217,-0.006739675998687966
pythia-70m,draw_1,high,5,0,0.6511458158493042,0.6537950038909912,0.0026491880416870117
pythia-70m,draw_1,high,5,1,0.6720615029335022,0.6722585558891296,0.0001970529556274414
pythia-70m,draw_1,high,5,2,0.2735147476196289,0.29003024101257324,0.016515493392944336
pythia-70m,draw_1,high,5,3,0.2256519198417663,0.23092982172966003,0.005277901887893732
pythia-70m,draw_1,high,5,4,0.1188091188669204,0.13175338506698608,0.012944266200065682
pythia-70m,draw_1,high,5,5,0.4202675819396972,0.43620482087135315,0.01593723893165594
pythia-70m,draw_1,high,5,6,0.126711830496788,0.13895879685878754,0.01224696636199954
pythia-70m,draw_1,high,5,7,0.6754740476608276,0.6767755746841431,0.0013015270233154297
pythia-70m,draw_1,very_high,0,0,3.892733097076416,3.892733097076416,0.0
pythia-70m,draw_1,very_high,0,1,2.4816033840179443,2.4816033840179443,0.0
pythia-70m,draw_1,very_high,0,2,2.1174521446228027,2.1174521446228027,0.0
pythia-70m,draw_1,very_high,0,3,0.8062772750854492,0.8062772750854492,0.0
pythia-70m,draw_1,very_high,0,4,2.232961177825928,2.2329611778259277,-4.440892098500626e-16
