model,draw,layer,attn_mi,mlp_mi,mlp_advantage
pythia-1.4b,draw_2,9,0.8628228693573363,0.6801797663524477,-0.18264310300488862
pythia-1.4b,draw_2,10,0.6470871408845607,0.6847651643565513,0.037678023471990674
pythia-1.4b,draw_2,11,1.0260891945812474,0.7707087065453548,-0.25538048803589253
pythia-1.4b,draw_2,12,1.0697710040477293,0.8818349427089396,-0.1879360613387897
pythia-1.4b,draw_2,13,0.9104140216150356,0.860458133845857,-0.049955887769178586
pythia-1.4b,draw_2,14,0.9582051567176304,0.7626077911663102,-0.19559736555132023
pythia-1.4b,draw_2,15,1.2793313097191845,0.8627538050804245,-0.41657750463876
pythia-1.4b,draw_2,16,1.4224371310652006,0.7567053246986934,-0.6657318063665072
pythia-1.4b,draw_2,17,1.6522340614226363,0.8116907272078215,-0.8405433342148148
pythia-1.4b,draw_2,18,1.5934218303981211,0.7811430220230163,-0.8122788083751048
pythia-1.4b,draw_2,19,1.7043851256322076,0.7627946271504888,-0.9415904984817187
pythia-1.4b,draw_2,20,1.5484757611996272,0.9222258788927968,-0.6262498823068303
pythia-1.4b,draw_2,21,1.9692970882725738,0.8804860346167003,-1.0888110536558735
pythia-1.4b,draw_2,22,1.591147488816598,1.0038575011074609,-0.5872899877091371
pythia-1.4b,draw_2,23,1.1060107113604514,0.8956454002827744,-0.21036531107767698
pythia-1.4b,draw_3,0,1.101316959245938,0.8587339272408757,-0.24258303200506226
pythia-1.4b,draw_3,1,1.0379577976457066,0.8978646913097504,-0.14009310633595617
pythia-1.4b,draw_3,2,1.3115825166613253,0.4693477686076668,-0.8422347480536585
pythia-1.4b,draw_3,3,1.3296542430580833,0.8015671530801745,-0.5280870899779089
pythia-1.4b,draw_3,4,0.9691395089851014,0.6929600132970584,-0.276179495688043
pythia-1.4b,draw_3,5,0.8989833289049765,0.781505976685406,-0.11747735221957045
pythia-1.4b,draw_3,6,0.9351943774095371,0.6831590742630399,-0.25203530314649725
pythia-1.4b,draw_3,7,0.8991815201403512,0.640860561552172,-0.2583209585881793
pythia-1.4b,draw_3,8,0.8854265006754859,0.7579786622503678,-0.1274478384251181
pythia-1.4b,draw_3,9,0.720922499772489,0.6131772178856855,-0.10774528188680355
pythia-1.4b,draw_3,10,0.6464318997875346,0.6300801520345441,-0.01635174775299042
pythia-1.4b,draw_3,11,1.041902725768538,0.7486800332928738,-0.29322269247566424
pythia-1.4b,draw_3,12,1.0705478498409529,0.8626553419507411,-0.20789250789021174
pythia-1.4b,draw_3,13,1.1086335985608229,0.823507033932341,-0.28512656462848185
pythia-1.4b,draw_3,14,1.0502370180934395,0.7679663984785214,-0.28227061961491806
pythia-1.4b,draw_3,15,1.2351190429150116,0.8354309523755683,-0.3996880905394433
pythia-1.4b,draw_3,16,1.3013864602374852,0.7774223791736208,-0.5239640810638644
pythia-1.4b,draw_3,17,1.4808131052784892,0.7781350344085679,-0.7026780708699213
pythia-1.4b,draw_3,18,1.4264222959455868,0.8393261091884838,-0.587096186757103
pythia-1.4b,draw_3,19,1.515041853415277,0.8102812109025602,-0.7047606425127168
pythia-1.4b,draw_3,20,1.3807142134350139,0.9148025195545042,-0.4659116938805097
pythia-1.4b,draw_3,21,1.7775321184781894,0.8757931753079895,-0.9017389431701999
pythia-1.4b,draw_3,22,1.2039781488214472,0.9928084065134463,-0.2111697423080009
pythia-1.4b,draw_3,23,1.1472859800189363,0.9312926207344622,-0.21599335928447416
