model,draw,layer,delta_mi,cumulative_mi
pythia-160m,draw_2,1,0.024601330537493693,0.8751585398306461
pythia-160m,draw_2,2,-0.009980077440826851,0.8651784623898192
pythia-160m,draw_2,3,-0.108892280654167,0.7562861817356522
pythia-160m,draw_2,4,0.08395375280068618,0.8402399345363384
pythia-160m,draw_2,5,0.03404608944192289,0.8742860239782613
pythia-160m,draw_2,6,0.04738512870269118,0.9216711526809525
pythia-160m,draw_2,7,-0.022019623122270016,0.8996515295586824
pythia-160m,draw_2,8,-0.11086257648062892,0.7887889530780535
pythia-160m,draw_2,9,-0.05681305546414017,0.7319758976139134
pythia-160m,draw_2,10,0.04834600537791267,0.780321902991826
pythia-160m,draw_2,11,-0.07359839148523706,0.706723511506589
pythia-160m,draw_3,0,0.882677506231046,0.882677506231046
pythia-160m,draw_3,1,-0.037656377571858024,0.845021128659188
pythia-160m,draw_3,2,-0.045336741030471694,0.7996843876287163
pythia-160m,draw_3,3,-0.007337496277783462,0.7923468913509328
pythia-160m,draw_3,4,0.05733115610021722,0.84967804745115
pythia-160m,draw_3,5,0.010334790206610878,0.8600128376577609
pythia-160m,draw_3,6,0.0365857516707212,0.8965985893284821
pythia-160m,draw_3,7,-0.06354866906458045,0.8330499202639017
pythia-160m,draw_3,8,-0.11251331290998445,0.7205366073539172
pythia-160m,draw_3,9,-0.03196008071695278,0.6885765266369644
pythia-160m,draw_3,10,0.06325314554525063,0.7518296721822151
pythia-160m,draw_3,11,-0.06532934198079454,0.6865003302014205
pythia-410m,draw_1,0,0.8611591287619128,0.8611591287619128
pythia-410m,draw_1,1,0.0805210592971578,0.9416801880590706
pythia-410m,draw_1,2,-0.0072747608600626235,0.934405427199008
pythia-410m,draw_1,3,0.0365970149607322,0.9710024421597402
pythia-410m,draw_1,4,-0.09004054871626654,0.8809618934434736
pythia-410m,draw_1,5,-0.02876294313327632,0.8521989503101973
pythia-410m,draw_1,6,0.02079868955628228,0.8729976398664796
pythia-410m,draw_1,7,-0.03584350580741835,0.8371541340590613
pythia-410m,draw_1,8,-0.03586428261038421,0.801289851448677
pythia-410m,draw_1,9,-0.02463744777004495,0.7766524036786321
pythia-410m,draw_1,10,0.044644989114496325,0.8212973927931284
pythia-410m,draw_1,11,0.055722501437036276,0.8770198942301647
pythia-410m,draw_1,12,-0.024596766667835723,0.852423127562329
pythia-410m,draw_1,13,-0.017259481462942317,0.8351636460993866
pythia-410m,draw_1,14,0.04454723634055635,0.879710882439943
pythia-410m,draw_1,15,0.0251444843480636,0.9048553667880066
pythia-410m,draw_1,16,0.045065137472415806,0.9499205042604224
pythia-410m,draw_1,17,-0.07588617369870143,0.874034330561721
pythia-410m,draw_1,18,-0.08631374261340319,0.7877205879483178
pythia-410m,draw_1,19,0.022449675253053303,0.8101702632013711
pythia-410m,draw_1,20,-0.05256299785498497,0.7576072653463861
pythia-410m,draw_1,21,0.019565451692153513,0.7771727170385396
pythia-410m,draw_1,22,0.08719042221957019,0.8643631392581098
pythia-410m,draw_1,23,0.11352505518126776,0.9778881944393776
pythia-410m,draw_2,0,0.8933733637120653,0.8933733637120653
pythia-410m,draw_2,1,0.07930280463194395,0.9726761683440093
pythia-410m,draw_2,2,-0.015349539822041791,0.9573266285219675
pythia-410m,draw_2,3,0.05268243215952184,1.0100090606814893
pythia-410m,draw_2,4,-0.0739135837080932,0.9360954769733961
pythia-410m,draw_2,5,-0.03189312213377449,0.9042023548396216
pythia-410m,draw_2,6,-0.0014427700176262714,0.9027595848219954
pythia-410m,draw_2,7,-0.026288564457017438,0.8764710203649779
pythia-410m,draw_2,8,-0.0036341672763090527,0.8728368530886689
pythia-410m,draw_2,9,0.029364446624506324,0.9022012997131752
pythia-410m,draw_2,10,0.014188563493309658,0.9163898632064849
pythia-410m,draw_2,11,-0.021655015805648548,0.8947348474008363
pythia-410m,draw_2,12,-0.0027730748047642972,0.891961772596072
pythia-410m,draw_2,13,-0.004664249637959084,0.8872975229581129
pythia-410m,draw_2,14,0.03738540971746984,0.9246829326755828
pythia-410m,draw_2,15,0.05479470497539762,0.9794776376509804
pythia-410m,draw_2,16,0.014306363377177389,0.9937840010281578
pythia-410m,draw_2,17,-0.09549842898516125,0.8982855720429965
pythia-410m,draw_2,18,-0.08368004391531303,0.8146055281276835
pythia-410m,draw_2,19,0.03439313800703514,0.8489986661347186
pythia-410m,draw_2,20,-0.03438321349304585,0.8146154526416728
pythia-410m,draw_2,21,-0.0058461331096182345,0.8087693195320546
pythia-410m,draw_2,22,0.11603675750884901,0.9248060770409036
