model,draw,band_1,band_2,layer_name,layer_idx,cka
pythia-410m,draw_1,low,control,middle,12,0.3585441400105954
pythia-410m,draw_1,low,control,final,23,0.21211832308798148
pythia-410m,draw_1,medium,high,early,1,0.515155012379669
pythia-410m,draw_1,medium,high,middle,12,0.33978654040892714
pythia-410m,draw_1,medium,high,final,23,0.1843463303876542
pythia-410m,draw_1,medium,very_high,early,1,0.496333103966157
pythia-410m,draw_1,medium,very_high,middle,12,0.35683449753855356
pythia-410m,draw_1,medium,very_high,final,23,0.20080965858741656
pythia-410m,draw_1,medium,control,early,1,0.5324708263498061
pythia-410m,draw_1,medium,control,middle,12,0.3596614254010169
pythia-410m,draw_1,medium,control,final,23,0.1869086331073382
pythia-410m,draw_1,high,very_high,early,1,0.48007168491294505
pythia-410m,draw_1,high,very_high,middle,12,0.3561166166569453
pythia-410m,draw_1,high,very_high,final,23,0.19930783727518156
pythia-410m,draw_1,high,control,early,1,0.5096826723027833
pythia-410m,draw_1,high,control,middle,12,0.3475757451961417
pythia-410m,draw_1,high,control,final,23,0.20363075433837965
pythia-410m,draw_1,very_high,control,early,1,0.49257808300023426
pythia-410m,draw_1,very_high,control,middle,12,0.3542909077420658
pythia-410m,draw_1,very_high,control,final,23,0.19881241310990808
pythia-410m,draw_2,low,medium,early,1,0.506171879813973
pythia-410m,draw_2,low,medium,middle,12,0.3455333923448346
pythia-410m,draw_2,low,medium,final,23,0.1719592313851563
pythia-410m,draw_2,low,high,early,1,0.5083516794400874
pythia-410m,draw_2,low,high,middle,12,0.3493805327537305
pythia-410m,draw_2,low,high,final,23,0.17125580258431208
pythia-410m,draw_2,low,very_high,early,1,0.5045491082349743
pythia-410m,draw_2,low,very_high,middle,12,0.3434611843341439
pythia-410m,draw_2,low,very_high,final,23,0.17449845868228148
pythia-410m,draw_2,low,control,early,1,0.5225194260785819
pythia-410m,draw_2,low,control,middle,12,0.3415766784520348
pythia-410m,draw_2,low,control,final,23,0.18348145945343214
pythia-410m,draw_2,medium,high,early,1,0.5023682637080107
pythia-410m,draw_2,medium,high,middle,12,0.356550303405666
pythia-410m,draw_2,medium,high,final,23,0.1788254648509213
pythia-410m,draw_2,medium,very_high,early,1,0.5053902487134166
pythia-410m,draw_2,medium,very_high,middle,12,0.3524167992294594
pythia-410m,draw_2,medium,very_high,final,23,0.17475861319083957
pythia-410m,draw_2,medium,control,early,1,0.514358076846089
pythia-410m,draw_2,medium,control,middle,12,0.34750593381341083
pythia-410m,draw_2,medium,control,final,23,0.19481799327669794
pythia-410m,draw_2,high,very_high,early,1,0.5007621946872686
pythia-410m,draw_2,high,very_high,middle,12,0.3488212441153497
pythia-410m,draw_2,high,very_high,final,23,0.17153649937750556
pythia-410m,draw_2,high,control,early,1,0.5071890685312012
pythia-410m,draw_2,high,control,middle,12,0.3506774364918279
pythia-410m,draw_2,high,control,final,23,0.19570003547744297
pythia-410m,draw_2,very_high,control,early,1,0.5138786064135482
pythia-410m,draw_2,very_high,control,middle,12,0.3377176634759487
pythia-410m,draw_2,very_high,control,final,23,0.19761040514052033
pythia-410m,draw_3,low,medium,early,1,0.4999594265302882
pythia-410m,draw_3,low,medium,middle,12,0.3479591258894515
pythia-410m,draw_3,low,medium,final,23,0.18890747745870215
pythia-410m,draw_3,low,high,early,1,0.4996161696147615
pythia-410m,draw_3,low,high,middle,12,0.35781971582575256
pythia-410m,draw_3,low,high,final,23,0.2065801623442374
pythia-410m,draw_3,low,very_high,early,1,0.4906654870856156
pythia-410m,draw_3,low,very_high,middle,12,0.36261688540486886
pythia-410m,draw_3,low,very_high,final,23,0.18514587538803967
pythia-410m,draw_3,low,control,early,1,0.516619908441643
pythia-410m,draw_3,low,control,middle,12,0.3653934830911962
pythia-410m,draw_3,low,control,final,23,0.19891492639113745
pythia-410m,draw_3,medium,high,early,1,0.49545199286528074
pythia-410m,draw_3,medium,high,middle,12,0.35089708172192136
pythia-410m,draw_3,medium,high,final,23,0.20095534061596634
pythia-410m,draw_3,medium,very_high,early,1,0.4861535760838504
pythia-410m,draw_3,medium,very_high,middle,12,0.3530342502569539
pythia-410m,draw_3,medium,very_high,final,23,0.1902581157797729
pythia-410m,draw_3,medium,control,early,1,0.5117482977392237
pythia-410m,draw_3,medium,control,middle,12,0.35754112092558976
pythia-410m,draw_3,medium,control,final,23,0.20020604310786097
pythia-410m,draw_3,high,very_high,early,1,0.4824500601194232
pythia-410m,draw_3,high,very_high,middle,12,0.3603297795928657
pythia-410m,draw_3,high,very_high,final,23,0.19401190179554267
pythia-410m,draw_3,high,control,early,1,0.5057342444673409
pythia-410m,draw_3,high,control,middle,12,0.3596980915704967
pythia-410m,draw_3,high,control,final,23,0.19832306729961338
pythia-410m,draw_3,very_high,control,early,1,0.5028446947995897
pythia-410m,draw_3,very_high,control,middle,12,0.3693213022673573
pythia-410m,draw_3,very_high,control,final,23,0.19845926060863867
pythia-1b,draw_1,low,medium,early,1,0.571151313656335
pythia-1b,draw_1,low,medium,middle,8,0.2638725023025756
pythia-1b,draw_1,low,medium,final,15,0.235477912262165
pythia-1b,draw_1,low,high,early,1,0.5650281900706798
pythia-1b,draw_1,low,high,middle,8,0.4633182377989408
pythia-1b,draw_1,low,high,final,15,0.22487239559037953
pythia-1b,draw_1,low,very_high,early,1,0.5455806746437979
pythia-1b,draw_1,low,very_high,middle,8,0.4654341350042017
pythia-1b,draw_1,low,very_high,final,15,0.22607809334343495
pythia-1b,draw_1,low,control,early,1,0.5778527581589102
pythia-1b,draw_1,low,control,middle,8,0.46820185354373095
pythia-1b,draw_1,low,control,final,15,0.22259702080895608
pythia-1b,draw_1,medium,high,early,1,0.5857962568578501
pythia-1b,draw_1,medium,high,middle,8,0.2767720895815191
pythia-1b,draw_1,medium,high,final,15,0.21180152001354413
pythia-1b,draw_1,medium,very_high,early,1,0.5650900350135544
pythia-1b,draw_1,medium,very_high,middle,8,0.2656713053715938
pythia-1b,draw_1,medium,very_high,final,15,0.22119644578124706
pythia-1b,draw_1,medium,control,early,1,0.6043830880375661
pythia-1b,draw_1,medium,control,middle,8,0.26166882224795573
pythia-1b,draw_1,medium,control,final,15,0.21090656977191707
pythia-1b,draw_1,high,very_high,early,1,0.5579858752713824
pythia-1b,draw_1,high,very_high,middle,8,0.4607711685665199
pythia-1b,draw_1,high,very_high,final,15,0.19638451657531839
pythia-1b,draw_1,high,control,early,1,0.5912891261711679
pythia-1b,draw_1,high,control,middle,8,0.4647969413328286
pythia-1b,draw_1,high,control,final,15,0.18696029769383027
pythia-1b,draw_1,very_high,control,early,1,0.57450981769754
pythia-1b,draw_1,very_high,control,middle,8,0.46453822100323217
pythia-1b,draw_1,very_high,control,final,15,0.1931838782512704
pythia-1b,draw_2,low,medium,early,1,0.5543426949370867
pythia-1b,draw_2,low,medium,middle,8,0.44889083373034083
pythia-1b,draw_2,low,medium,final,15,0.22796376355360656
pythia-1b,draw_2,low,high,early,1,0.57428940516569
pythia-1b,draw_2,low,high,middle,8,0.4591043941559106
pythia-1b,draw_2,low,high,final,15,0.24403975973065095
pythia-1b,draw_2,low,very_high,early,1,0.5811735395031915
pythia-1b,draw_2,low,very_high,middle,8,0.447831075867595
pythia-1b,draw_2,low,very_high,final,15,0.191963272415985
pythia-1b,draw_2,low,control,early,1,0.5874798391439173
pythia-1b,draw_2,low,control,middle,8,0.43908005286408514
pythia-1b,draw_2,low,control,final,15,0.2051392837414184
pythia-1b,draw_2,medium,high,early,1,0.5664641170138667
pythia-1b,draw_2,medium,high,middle,8,0.46666504942385156
pythia-1b,draw_2,medium,high,final,15,0.23854479115521815
pythia-1b,draw_2,medium,very_high,early,1,0.5707980753568219
pythia-1b,draw_2,medium,very_high,middle,8,0.46374688680976356
pythia-1b,draw_2,medium,very_high,final,15,0.20745307664391618
pythia-1b,draw_2,medium,control,early,1,0.5798150547059656
pythia-1b,draw_2,medium,control,middle,8,0.44695347708517336
pythia-1b,draw_2,medium,control,final,15,0.20221837948711854
pythia-1b,draw_2,high,very_high,early,1,0.5900442171647253
pythia-1b,draw_2,high,very_high,middle,8,0.4704318372026313
pythia-1b,draw_2,high,very_high,final,15,0.20031430706009512
pythia-1b,draw_2,high,control,early,1,0.5901098834713562
pythia-1b,draw_2,high,control,middle,8,0.45157651895074125
pythia-1b,draw_2,high,control,final,15,0.21223030449849933
pythia-1b,draw_2,very_high,control,early,1,0.5991473959307883
pythia-1b,draw_2,very_high,control,middle,8,0.4461396895224294
pythia-1b,draw_2,very_high,control,final,15,0.1779476253531154
pythia-1b,draw_3,low,medium,early,1,0.5440710886722802
pythia-1b,draw_3,low,medium,middle,8,0.4489007666987309
pythia-1b,draw_3,low,medium,final,15,0.2152787906752024
pythia-1b,draw_3,low,high,early,1,0.5417066625720643
pythia-1b,draw_3,low,high,middle,8,0.4618547873246131
pythia-1b,draw_3,low,high,final,15,0.2327920081046682
pythia-1b,draw_3,low,very_high,early,1,0.5497589479779001
pythia-1b,draw_3,low,very_high,middle,8,0.454830423788071
pythia-1b,draw_3,low,very_high,final,15,0.20474031699900563
pythia-1b,draw_3,low,control,early,1,0.5741496026339746
pythia-1b,draw_3,low,control,middle,8,0.46256335419677314
pythia-1b,draw_3,low,control,final,15,0.2144401079391504
pythia-1b,draw_3,medium,high,early,1,0.5435683936037494
pythia-1b,draw_3,medium,high,middle,8,0.46279077753917963
pythia-1b,draw_3,medium,high,final,15,0.2219789392362275
pythia-1b,draw_3,medium,very_high,early,1,0.5544891750832275
pythia-1b,draw_3,medium,very_high,middle,8,0.4530905153238542
pythia-1b,draw_3,medium,very_high,final,15,0.19191462022462394
pythia-1b,draw_3,medium,control,early,1,0.5722645624816565
pythia-1b,draw_3,medium,control,middle,8,0.4573039512650846
