model,draw,layer,base_mi,circuit_mi,info_loss,fractional_loss
pythia-1b,draw_2,4.0,1.054322024363,1.0538582735610493,0.00046375080195071305,0.00043985688550033075
pythia-1b,draw_2,5.0,1.0016398384082008,1.0351878460066382,-0.033548007598437346,-0.03349308435230732
pythia-1b,draw_2,6.0,0.9801181805548692,1.0209466729173142,-0.04082849236244501,-0.04165670341849081
pythia-1b,draw_2,7.0,0.9474006760245216,0.9847674349417457,-0.037366758917224074,-0.03944134711199732
pythia-1b,draw_2,8.0,0.9067265796366236,0.9473493642340954,-0.04062278459747182,-0.04480158132537777
pythia-1b,draw_2,9.0,0.95299680878851,0.9846716958997304,-0.03167488711122035,-0.03323713869670436
pythia-1b,draw_2,10.0,0.9704313460042452,1.0535534239584772,-0.08312207795423199,-0.08565477433976908
pythia-1b,draw_2,11.0,1.095677137626816,1.1764334347420526,-0.08075629711523669,-0.07370446488474784
pythia-1b,draw_2,12.0,1.1200308477550414,1.1686039461353919,-0.04857309838035051,-0.043367643380277494
pythia-1b,draw_2,13.0,1.1616901464739964,1.197708686605872,-0.036018540131875554,-0.031005290215467798
pythia-1b,draw_2,14.0,1.1653004070724942,1.1932944505637448,-0.027994043491250675,-0.024023027299525473
pythia-1b,draw_2,15.0,1.070501634040146,1.0964335799697067,-0.025931945929560607,-0.024224106815878155
pythia-1b,draw_3,0.0,1.137856990921581,1.1003401588920914,0.03751683202948963,0.03297148264572663
pythia-1b,draw_3,1.0,1.1300032923279142,1.0905508362557643,0.039452456072149866,0.0349135762169985
pythia-1b,draw_3,2.0,1.0809854412971185,1.0395814559046688,0.041403985392449716,0.038302074950026514
pythia-1b,draw_3,3.0,1.025915596863895,1.0198192464460494,0.006096350417845731,0.005942350848823788
pythia-1b,draw_3,4.0,1.055778531099417,1.006586194941019,0.04919233615839791,0.046593423440020425
pythia-1b,draw_3,5.0,1.091103382504958,1.021298118014188,0.06980526449077007,0.06397676481444953
pythia-1b,draw_3,6.0,0.981079051019896,0.9652841590060618,0.015794892013834216,0.016099510021556764
pythia-1b,draw_3,7.0,0.9555764385133731,0.9793411759036412,-0.023764737390268076,-0.024869530507930677
pythia-1b,draw_3,8.0,0.9077964972883596,0.9396918273328969,-0.03189533004453726,-0.03513488996687082
pythia-1b,draw_3,9.0,0.9426526936119476,0.9614159928500906,-0.018763299238143016,-0.01990478504468913
pythia-1b,draw_3,10.0,0.9752819817791624,1.0219175886853227,-0.04663560690616031,-0.04781756228192087
pythia-1b,draw_3,11.0,1.0875276821031516,1.1387736465067688,-0.05124596440361717,-0.04712152641899971
pythia-1b,draw_3,12.0,1.0939768864059447,1.1479294164008385,-0.05395252999489375,-0.04931779698942693
pythia-1b,draw_3,13.0,1.112735481402982,1.1904227417007107,-0.07768726029772877,-0.06981646725219683
pythia-1b,draw_3,14.0,1.1528272090856777,1.1766569828053175,-0.02382977371963979,-0.020670724573320486
pythia-1b,draw_3,15.0,1.0151877340216933,1.0621598282497202,-0.04697209422802695,-0.046269367382864
