model,draw,layer,base_efficiency,circuit_efficiency,delta_efficiency
pythia-1b,draw_2,3.0,0.0005224908412321,0.0005085853957500292,-1.3905445482070757e-05
pythia-1b,draw_2,4.0,0.0005148056759584,0.0005145792351372311,-2.2644082116882788e-07
pythia-1b,draw_2,5.0,0.0004890819523477,0.0005054628154329288,1.6380863085228804e-05
pythia-1b,draw_2,6.0,0.000478573330349,0.0004985091176354073,1.993578728640735e-05
pythia-1b,draw_2,7.0,0.00046259798634,0.00048084347409264926,1.8245487752649263e-05
pythia-1b,draw_2,8.0,0.0004427375877131,0.0004625729317549294,1.9835344041829424e-05
pythia-1b,draw_2,9.0,0.0004653304730412,0.0004807967265135402,1.5466253472340235e-05
pythia-1b,draw_2,10.0,0.0004738434306661,0.0005144303827922252,4.058695212612518e-05
pythia-1b,draw_2,11.0,0.0005349986023568,0.0005744303880576429,3.9431785700842856e-05
pythia-1b,draw_2,12.0,0.0005468900623803,0.0005706073955739218,2.3717333193621812e-05
pythia-1b,draw_2,13.0,0.000567231516833,0.0005848186946317734,1.7587177798773432e-05
pythia-1b,draw_2,14.0,0.0005689943393908,0.0005826633059393285,1.3668966548528489e-05
pythia-1b,draw_2,15.0,0.0005227058759961,0.0005353679589695833,1.2662082973483317e-05
pythia-1b,draw_3,0.0,0.0005555942338484,0.000537275468209029,-1.8318765639371046e-05
pythia-1b,draw_3,1.0,0.0005517594200819,0.0005324955255155099,-1.926389456639009e-05
pythia-1b,draw_3,2.0,0.0005278249225083,0.0005076081327659515,-2.0216789742348432e-05
pythia-1b,draw_3,3.0,0.0005009353500311,0.000497958616428735,-2.976733602364965e-06
pythia-1b,draw_3,4.0,0.0005155168608883,0.0004914971654985445,-2.401969538975556e-05
pythia-1b,draw_3,5.0,0.0005327653234887,0.0004986807216866152,-3.408460180208471e-05
pythia-1b,draw_3,6.0,0.0004790425053808,0.0004713301557646786,-7.712349616121369e-06
pythia-1b,draw_3,7.0,0.0004665900578678,0.0004781939335466998,1.1603875678899839e-05
pythia-1b,draw_3,8.0,0.0004432600084415,0.00045883390006489107,1.5573891623391067e-05
pythia-1b,draw_3,9.0,0.0004602796355527,0.0004694414027588333,9.161767206133302e-06
pythia-1b,draw_3,10.0,0.0004762119051656,0.0004989831976002552,2.2771292434655202e-05
pythia-1b,draw_3,11.0,0.0005310193760269,0.0005560418195833832,2.5022443556483188e-05
pythia-1b,draw_3,12.0,0.0005341684015654,0.0005605124103519719,2.6344008786571924e-05
pythia-1b,draw_3,13.0,0.0005433278717787,0.0005812611043460502,3.793323256735012e-05
pythia-1b,draw_3,14.0,0.0005629039106863,0.0005745395423854089,1.1635631699108894e-05
pythia-1b,draw_3,15.0,0.0004956971357527,0.0005186327286375587,2.293559288485869e-05
