model,draw,band,model_capacity,frequency_rank,mean_induction_score,mean_bos_fraction,mean_target_fraction,mean_repeat_fraction,mean_source_fraction,mean_entropy,entropy_median
pythia-160m,draw_3,high,160,3.0,0.03265822637311319,0.37795347255495787,0.10208088961077445,0.2916030862871821,0.06798903846938299,1.6623286658448504,1.619778233655112
pythia-160m,draw_3,very_high,160,4.0,0.03131638336420273,0.3791211226806542,0.09624786073289632,0.30219977656671265,0.06517101603785272,1.6667766890010778,1.627686391738496
pythia-160m,draw_3,control,160,,0.03129550613096437,0.37940736501641226,0.09751011568788175,0.29837562561560715,0.06631821982775794,1.6568521829441225,1.6155035962623516
pythia-410m,draw_1,low,410,1.0,0.03334247403809234,0.47429895289514534,0.06643039115937527,0.20603550621116848,0.07956530121241934,2.06479916414767,2.0718677479151957
pythia-410m,draw_1,medium,410,2.0,0.03391893307966579,0.46884612262613246,0.0658774348238253,0.20561470279497937,0.08062332451699028,2.0734158275479992,2.0779524217514322
pythia-410m,draw_1,high,410,3.0,0.033768003482354404,0.46060541007503036,0.06476504120521083,0.20818783093902893,0.07895595497713377,2.1023791256192035,2.115177121762263
pythia-410m,draw_1,very_high,410,4.0,0.032892123575335906,0.4583754666622924,0.06342788544500551,0.2132966402173856,0.077496572652113,2.1233077845266357,2.132233463921158
pythia-410m,draw_1,control,410,,0.03296267852976933,0.45656973163353043,0.06436022043141391,0.21314194236306908,0.07740436571977909,2.119348233417592,2.127096669769889
pythia-410m,draw_2,low,410,1.0,0.03387055303762113,0.4761542379582247,0.06818085460145855,0.2060316195319363,0.07937793309969914,2.054313636987986,2.0564044713738467
pythia-410m,draw_2,medium,410,2.0,0.033012060226497844,0.46444964672322203,0.06718414224191442,0.20651660133188623,0.08059743490437181,2.0945449058518,2.1017282853280426
pythia-410m,draw_2,high,410,3.0,0.0335991075510463,0.45999300733591514,0.06480377264502095,0.2092144902752492,0.07853600648097014,2.105564876265864,2.114195131555068
pythia-410m,draw_2,very_high,410,4.0,0.0319969219804718,0.45566803833113473,0.0628221042849301,0.21484623332620909,0.07696863213096113,2.135512423688946,2.1456321420284126
pythia-410m,draw_2,control,410,,0.0327952140973661,0.454133506664071,0.06430203209151904,0.21362757605759908,0.07845065696205229,2.125058038374808,2.1387746298553907
pythia-410m,draw_3,low,410,1.0,0.03357188880595876,0.47269747561279524,0.06640226552109789,0.2052020999643885,0.08007058971512275,2.0695942724532017,2.075047586902115
pythia-410m,draw_3,medium,410,2.0,0.034029554766776125,0.47035460232337795,0.06649181634471629,0.2050555202356049,0.08026815749941522,2.0712407077221067,2.075678095414093
pythia-410m,draw_3,high,410,3.0,0.03372913261139477,0.4622836944924451,0.06445502020527953,0.20829640293820548,0.07971404656942187,2.104241835801607,2.113552537629391
pythia-410m,draw_3,very_high,410,4.0,0.032580715128440345,0.4579383449321625,0.06314844848661667,0.21492718549703738,0.07624357537600919,2.117654472988368,2.126282368079391
pythia-410m,draw_3,control,410,,0.03314100699595473,0.46059611045474397,0.06304669088496435,0.21292414058084944,0.07860315963429769,2.1094740107792376,2.113562337155174
pythia-1b,draw_1,low,1000,1.0,0.04236911757842571,0.3606043283020881,0.08357942135793077,0.27827666751943525,0.09194019475701445,2.5300276991038118,2.5548928131902358
pythia-1b,draw_1,medium,1000,2.0,0.04095266266337605,0.35790615251062263,0.08469487313458468,0.27894429196135206,0.08949143722746555,2.5369288633737597,2.556210011302028
pythia-1b,draw_1,high,1000,3.0,0.038914716293837776,0.35390965367150784,0.08312371390527731,0.27666963664461264,0.08492068903109609,2.5805665642183158,2.6056743303306575
pythia-1b,draw_1,very_high,1000,4.0,0.03656966315835598,0.3570785556903502,0.07955261074714651,0.2740832697757014,0.08135404217328851,2.6025492813932942,2.629085076638148
pythia-1b,draw_1,control,1000,,0.037623949006983265,0.35338421552569343,0.08255006839009016,0.27512894548715394,0.08375316576505432,2.597909554726357,2.6264956476079533
pythia-1b,draw_2,low,1000,1.0,0.04369310532575786,0.3591127688500819,0.0845572379985234,0.27852086779597585,0.0942261384159071,2.5252512821971322,2.5467250147776213
pythia-1b,draw_2,medium,1000,2.0,0.041047014638858764,0.35324530874095217,0.0857837052542304,0.28054515090667564,0.09038584182674286,2.551901845858083,2.5720589649208705
pythia-1b,draw_2,high,1000,3.0,0.03937601477412674,0.3533131939893792,0.08265671813194843,0.2766646222166287,0.08524161183375423,2.5789084948191885,2.6024440006076475
pythia-1b,draw_2,very_high,1000,4.0,0.03693111428409695,0.35444418786846654,0.07998991395656421,0.27633430748227283,0.0814701115027523,2.608089806359203,2.6373673084272014
pythia-1b,draw_2,control,1000,,0.03793377652287566,0.3547759465927811,0.08258016689949968,0.27613400401008903,0.08430378868002597,2.5930600781466637,2.6166707582306117
pythia-1b,draw_3,low,1000,1.0,0.043212277357584324,0.3584807323777568,0.08321467731751478,0.2783459264951489,0.09275139630956497,2.534290218609385,2.5643024596647592
pythia-1b,draw_3,medium,1000,2.0,0.04175777389374283,0.35682703983366093,0.08481816001189126,0.27835457069454606,0.08952051710379558,2.5438793331049965,2.5662039820090286
pythia-1b,draw_3,high,1000,3.0,0.038745579370068395,0.35685727935197065,0.08237740950745134,0.275973275997103,0.08490387298095958,2.576913143049751,2.604530097629322
pythia-1b,draw_3,very_high,1000,4.0,0.03634804123093108,0.35775031232151516,0.0807072565747867,0.274548322604403,0.08053517054704269,2.5924890009046067,2.6200666030708817
pythia-1b,draw_3,control,1000,,0.03786343551101076,0.3561803225620679,0.08159544415545227,0.27536593677439214,0.08295514520839548,2.5856400311677135,2.6107754081131134
pythia-1.4b,draw_1,low,1400,1.0,0.029791240785661446,0.48920913313105324,0.06294117492541688,0.19651492438755958,0.06931872290174672,1.958055495077155,1.9619936717954791
pythia-1.4b,draw_1,medium,1400,2.0,0.029937921454483207,0.4922575918149554,0.06150006650301106,0.1976649564118825,0.06813883766847086,1.947112802599876,1.9522260425499036
pythia-1.4b,draw_1,high,1400,3.0,0.02833835914392929,0.49600808101632704,0.05974800673502669,0.19767427528540082,0.06402352781877259,1.959304603766873,1.9683181592664052
pythia-1.4b,draw_1,very_high,1400,4.0,0.027083545592347023,0.49715617599234996,0.0561830022055693,0.20130484686979425,0.060441068773777085,1.9596894401428562,1.9676897332448895
pythia-1.4b,draw_1,control,1400,,0.027770693264876068,0.4926254029694433,0.058754214471782855,0.20232825637795435,0.06247798520458464,1.96594793419949,1.9765571465964131
pythia-1.4b,draw_2,low,1400,1.0,0.031017078413364724,0.4903747790711517,0.0646438280654862,0.1957293791498208,0.07013257058638354,1.941611043518254,1.9471656907425323
pythia-1.4b,draw_2,medium,1400,2.0,0.02946743066046413,0.4938969545658969,0.06325294151867171,0.19734829425239453,0.06726354114686182,1.9422702096637547,1.948368389115304
pythia-1.4b,draw_2,high,1400,3.0,0.028540323696521958,0.4938601178149418,0.059421008399942604,0.1990630607920509,0.0634217443551555,1.957156917379703,1.9658561940109192
pythia-1.4b,draw_2,very_high,1400,4.0,0.02685328761971667,0.49428841293550674,0.057071280061200304,0.20267096964339737,0.06021309691966508,1.9606061471846192,1.9715383698531734
pythia-1.4b,draw_2,control,1400,,0.027636555124809347,0.4933133583329248,0.058794727910868726,0.20196934348106774,0.062257837525801406,1.9613986521224651,1.9738448105857056
pythia-1.4b,draw_3,low,1400,1.0,0.030452736153831993,0.4893044902804749,0.06255292128707078,0.1961929599066697,0.07034968164331698,1.9586076010244762,1.9651975522901568
pythia-1.4b,draw_3,medium,1400,2.0,0.02929481217431118,0.49754791450499464,0.06331339312021453,0.19597110543056626,0.06625624207716316,1.9287960868921254,1.9313267810653745
pythia-1.4b,draw_3,high,1400,3.0,0.028177746806391474,0.4960076014552093,0.05975045504492462,0.19876496012392764,0.06332747472921357,1.9437107901470239,1.9519506609942454
pythia-1.4b,draw_3,very_high,1400,4.0,0.026834916287194782,0.4927642701440947,0.05709948815123411,0.2039311400234519,0.059833981312337185,1.9687245082413651,1.9788909054553177
pythia-1.4b,draw_3,control,1400,,0.027371026352637422,0.4970460427468823,0.0583598686532994,0.2017483094933481,0.06125700081148705,1.9434590171745587,1.9508605318406922
