model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-70m,draw_1,control,4,0,1.9747474193572998,1.0512115955352783,2.1880807876586914
pythia-70m,draw_1,control,4,1,0.3735717236995697,0.47700849175453186,0.17681355774402618
pythia-70m,draw_1,control,4,2,0.9581378698348999,0.7447315454483032,0.8919151425361633
pythia-70m,draw_1,control,4,3,0.2003750503063202,0.36501166224479675,0.009144406765699387
pythia-70m,draw_1,control,4,4,0.5229580402374268,0.6354221105575562,0.25253698229789734
pythia-70m,draw_1,control,4,5,1.128814458847046,0.8997213840484619,1.107990026473999
pythia-70m,draw_1,control,4,6,0.5320743918418884,0.6337783932685852,0.23498234152793884
pythia-70m,draw_1,control,4,7,0.7573879957199097,0.7203779220581055,0.6252304911613464
pythia-70m,draw_1,control,5,0,0.6170754432678223,0.5415734052658081,0.5229523777961731
pythia-70m,draw_1,control,5,1,0.6354291439056396,0.6053917407989502,0.4667571187019348
pythia-70m,draw_1,control,5,2,0.2525394558906555,0.433794766664505,0.008518463000655174
pythia-70m,draw_1,control,5,3,0.1994324028491974,0.33267149329185486,0.011429899372160435
pythia-70m,draw_1,control,5,4,0.11033809930086136,0.29884809255599976,6.702307473460678e-07
pythia-70m,draw_1,control,5,5,0.33485788106918335,0.5769486427307129,0.009371554479002953
pythia-70m,draw_1,control,5,6,0.11360576748847961,0.2925999164581299,7.148290478653507e-06
pythia-70m,draw_1,control,5,7,0.6009308695793152,0.5643197298049927,0.4984864890575409
pythia-70m,draw_2,low,0,0,3.876260280609131,0.3497469127178192,4.010300159454346
pythia-70m,draw_2,low,0,1,2.707736015319824,0.39595916867256165,2.746877908706665
pythia-70m,draw_2,low,0,2,2.6276514530181885,0.6873214840888977,2.7535898685455322
pythia-70m,draw_2,low,0,3,0.46530765295028687,0.2068823277950287,0.41192853450775146
pythia-70m,draw_2,low,0,4,2.139983892440796,0.6475679874420166,2.185549736022949
pythia-70m,draw_2,low,0,5,1.7464008331298828,0.6474706530570984,1.6931945085525513
pythia-70m,draw_2,low,0,6,2.121671199798584,0.37368062138557434,2.149864912033081
pythia-70m,draw_2,low,0,7,2.2944352626800537,0.6665151715278625,2.4083352088928223
pythia-70m,draw_2,low,1,0,3.7786238193511963,0.24180462956428528,3.816560983657837
pythia-70m,draw_2,low,1,1,2.1019599437713623,0.34835976362228394,2.1212668418884277
pythia-70m,draw_2,low,1,2,2.6190478801727295,0.4407767355442047,2.6003363132476807
pythia-70m,draw_2,low,1,3,2.892434597015381,0.2509133815765381,2.921194076538086
pythia-70m,draw_2,low,1,4,3.1939198970794678,0.336745023727417,3.207484483718872
pythia-70m,draw_2,low,1,5,3.264199733734131,0.30404049158096313,3.308147430419922
pythia-70m,draw_2,low,1,6,3.37492299079895,0.4427751302719116,3.4795708656311035
pythia-70m,draw_2,low,1,7,1.8251246213912964,0.5056861639022827,1.826622724533081
pythia-70m,draw_2,low,2,0,3.186713933944702,0.3904528021812439,3.2408602237701416
pythia-70m,draw_2,low,2,1,0.6863754391670227,0.262114554643631,0.6614260077476501
pythia-70m,draw_2,low,2,2,3.704669713973999,0.14748340845108032,3.712134599685669
pythia-70m,draw_2,low,2,3,3.2754557132720947,0.39080485701560974,3.300272226333618
pythia-70m,draw_2,low,2,4,1.8803330659866333,0.6547388434410095,1.9168096780776978
pythia-70m,draw_2,low,2,5,3.9176855087280273,0.20155133306980133,3.9550669193267822
pythia-70m,draw_2,low,2,6,1.906777024269104,0.6437792778015137,1.918381690979004
pythia-70m,draw_2,low,2,7,2.57641339302063,0.16590267419815063,2.592914581298828
pythia-70m,draw_2,low,3,0,2.246957540512085,0.643648624420166,2.272543430328369
pythia-70m,draw_2,low,3,1,1.1522310972213745,0.744661271572113,1.123734951019287
pythia-70m,draw_2,low,3,2,3.6622555255889893,0.24960926175117493,3.6641459465026855
pythia-70m,draw_2,low,3,3,2.748993396759033,0.612758994102478,2.741716146469116
pythia-70m,draw_2,low,3,4,3.0351343154907227,0.32849401235580444,3.0716378688812256
pythia-70m,draw_2,low,3,5,0.8338574171066284,0.8533349633216858,0.47173765301704407
pythia-70m,draw_2,low,3,6,0.5251052379608154,0.7338680624961853,0.09210359305143356
pythia-70m,draw_2,low,3,7,3.297675132751465,0.5580117702484131,3.4667365550994873
